run_id,t,p_family,theta,source_feature,class_mode,class_label,n_pairs_in_class,sum_pair_weight,sum_contrib_primary,mean_contrib_primary,max_contrib_primary,class_rank,cumulative_class_contrib,case_label,branch_basis,branch_label
M33_V0_alpha_peak_robustness,20.0,P2,1e-08,abs,delta_p2,dp2=15,2,1.5536605413337703e-15,8.365660999550942e-23,4.182830499775471e-23,8.363477553190533e-23,15,0.9999999999999998,t=20.0__pf=P2__th=1e-08,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,20.0,P2,1e-08,abs,delta_p2,dp2=16,1,4.690074962606262e-17,7.578315298174661e-25,7.578315298174661e-25,7.578315298174661e-25,16,0.9999999999999998,t=20.0__pf=P2__th=1e-08,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,20.0,P2,1e-08,abs,delta_p2,dp2=12,1,2.1292907388311314e-21,2.532299624842988e-28,2.532299624842988e-28,2.532299624842988e-28,17,0.9999999999999998,t=20.0__pf=P2__th=1e-08,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,delta_p,dp=-1,3,0.829818863883987,2.420464628853771e-07,8.068215429512569e-08,1.9747198958487876e-07,1,0.9168860411015903,t=40.0__pf=P2__th=1e-09,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,delta_p,dp=-2,4,0.1561846343200414,2.1619070213097987e-08,5.404767553274497e-09,2.0525359173121827e-08,2,0.9987803330639219,t=40.0__pf=P2__th=1e-09,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,delta_p,dp=-3,4,0.012615960101624338,3.038030417271846e-10,7.595076043179614e-11,3.0380252328833196e-10,3,0.9999311566078122,t=40.0__pf=P2__th=1e-09,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,delta_p,dp=-4,2,0.001322334133376173,1.6978768170469276e-11,8.489384085234638e-12,1.6978768170469276e-11,4,0.9999954731664805,t=40.0__pf=P2__th=1e-09,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,delta_p,dp=-5,3,5.82065281187192e-05,1.1950275087103998e-12,3.9834250290346663e-13,1.1950275087103998e-12,5,1.0,t=40.0__pf=P2__th=1e-09,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,delta_p,dp=-7,2,1.032852303069572e-09,4.118486895953444e-28,2.059243447976722e-28,4.118486895953444e-28,6,1.0,t=40.0__pf=P2__th=1e-09,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,delta_p,dp=-6,1,1.4344194804878684e-20,1.5318550217470754e-28,1.5318550217470754e-28,1.5318550217470754e-28,7,1.0,t=40.0__pf=P2__th=1e-09,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,delta_p,dp=-10,1,6.302399350231806e-22,0.0,0.0,0.0,8,1.0,t=40.0__pf=P2__th=1e-09,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,delta_p,dp=-8,1,6.843232612424201e-20,0.0,0.0,0.0,9,1.0,t=40.0__pf=P2__th=1e-09,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,delta_p2,dp2=3,2,0.6912359135029784,1.9777579210816708e-07,9.888789605408354e-08,1.9747198958487876e-07,1,0.749186172316273,t=40.0__pf=P2__th=1e-09,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,delta_p2,dp2=1,1,0.14356869669317482,4.416770282033859e-08,4.416770282033859e-08,4.416770282033859e-08,2,0.9164959925083961,t=40.0__pf=P2__th=1e-09,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,delta_p2,dp2=4,1,0.14356869669317482,2.0525359173121827e-08,2.0525359173121827e-08,2.0525359173121827e-08,3,0.9942472436115529,t=40.0__pf=P2__th=1e-09,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,delta_p2,dp2=0,1,0.006307968297007137,1.0291215926033484e-09,1.0291215926033484e-09,1.0291215926033484e-09,4,0.9981456158976255,t=40.0__pf=P2__th=1e-09,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,delta_p2,dp2=-1,1,0.0013222219848408147,4.067704801597386e-10,4.067704801597386e-10,4.067704801597386e-10,5,0.9996864860708339,t=40.0__pf=P2__th=1e-09,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,delta_p2,dp2=12,1,0.006307968297007137,6.458935708551869e-11,6.458935708551869e-11,6.458935708551869e-11,6,0.9999311543019226,t=40.0__pf=P2__th=1e-09,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,delta_p2,dp2=16,1,0.0013222219848408147,1.6978768170469276e-11,1.6978768170469276e-11,1.6978768170469276e-11,7,0.9999954708605909,t=40.0__pf=P2__th=1e-09,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,delta_p2,dp2=15,2,0.0063660626765904985,1.1950275087103998e-12,5.975137543551999e-13,1.1950275087103998e-12,8,0.9999999976941104,t=40.0__pf=P2__th=1e-09,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,delta_p2,dp2=-9,1,2.350761006341341e-08,5.184388526095748e-16,5.184388526095748e-16,5.184388526095748e-16,9,0.9999999996579868,t=40.0__pf=P2__th=1e-09,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,delta_p2,dp2=-8,2,1.1318138766128299e-07,9.02872936970642e-17,4.51436468485321e-17,9.02872936970642e-17,10,1.0000000000000004,t=40.0__pf=P2__th=1e-09,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,delta_p2,dp2=-35,2,6.90625660592652e-20,4.248081979203573e-28,2.1240409896017863e-28,4.118486895953444e-28,11,1.0000000000000004,t=40.0__pf=P2__th=1e-09,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,delta_p2,dp2=-36,1,1.4344194804878684e-20,1.5318550217470754e-28,1.5318550217470754e-28,1.5318550217470754e-28,12,1.0000000000000004,t=40.0__pf=P2__th=1e-09,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,neg,delta_p2,dp2=-32,1,6.843232612424201e-20,0.0,0.0,0.0,13,1.0000000000000004,t=40.0__pf=P2__th=1e-09,nearest_branch_readout,S1
