node_id,c60_index,element_symbol,source_icosa_vertex,target_icosa_vertex,source_icosa_edge,degree,pentagon_membership_count,hexagon_membership_count,local_face_signature,orbit_label,incident_faces,notes
c60_013,13,C,2,3,2-3,3,1,2,P1_H2,Ih_vertex_orbit,H_02;H_08;P_02,C60 vertex generated from directed edge of base icosahedron.
c60_014,14,C,2,6,2-6,3,1,2,P1_H2,Ih_vertex_orbit,H_06;H_07;P_02,C60 vertex generated from directed edge of base icosahedron.
c60_015,15,C,2,7,2-7,3,1,2,P1_H2,Ih_vertex_orbit,H_07;H_08;P_02,C60 vertex generated from directed edge of base icosahedron.
c60_016,16,C,3,0,0-3,3,1,2,P1_H2,Ih_vertex_orbit,H_02;H_03;P_03,C60 vertex generated from directed edge of base icosahedron.
c60_017,17,C,3,2,2-3,3,1,2,P1_H2,Ih_vertex_orbit,H_02;H_08;P_03,C60 vertex generated from directed edge of base icosahedron.
c60_018,18,C,3,4,3-4,3,1,2,P1_H2,Ih_vertex_orbit,H_03;H_10;P_03,C60 vertex generated from directed edge of base icosahedron.
c60_019,19,C,3,7,3-7,3,1,2,P1_H2,Ih_vertex_orbit,H_08;H_09;P_03,C60 vertex generated from directed edge of base icosahedron.
c60_020,20,C,3,8,3-8,3,1,2,P1_H2,Ih_vertex_orbit,H_09;H_10;P_03,C60 vertex generated from directed edge of base icosahedron.
c60_021,21,C,4,0,0-4,3,1,2,P1_H2,Ih_vertex_orbit,H_03;H_04;P_04,C60 vertex generated from directed edge of base icosahedron.
c60_022,22,C,4,3,3-4,3,1,2,P1_H2,Ih_vertex_orbit,H_03;H_10;P_04,C60 vertex generated from directed edge of base icosahedron.
