run_id,t,p_family,theta,packet_model,source_feature,p0,sigma_p,alpha_pref_source_model,branch_pref_source_model,source_score_model,alpha_pref_readout,branch_pref_readout,readout_score,delta_alpha,branch_match_flag,alpha_match_flag,loss_total
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-1.0,1.7,1.73,S3,0.04997991068914498,1.58,S2,0.0022301602906277,0.1499999999999999,0,0,1.1238949645101135
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-1.0,2.2,1.73,S3,0.04343032295856397,1.58,S2,0.0022301602906277,0.1499999999999999,0,0,1.1271697583754041
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-1.0,3.0,1.78,S3,0.007374737755999283,1.58,S2,0.0022301602906277,0.19999999999999996,0,0,1.1951975509766863
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-0.5,0.3,1.45,S1,0.033454075232220215,1.58,S2,0.0022301602906277,0.13000000000000012,0,0,1.112157882238576
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-0.5,0.5,1.45,S1,0.028260956348655553,1.58,S2,0.0022301602906277,0.13000000000000012,0,0,1.1147544416803585
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-0.5,0.8,1.51,,0.012087638473753048,1.58,S2,0.0022301602906277,0.07000000000000006,0,1,0.06284110061780956
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-0.5,1.0,1.57,S2,0.01479265528940521,1.58,S2,0.0022301602906277,0.010000000000000009,1,1,-0.9985114077900165
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-0.5,1.3,1.63,S2,0.017592048287633166,1.58,S2,0.0022301602906277,0.04999999999999982,1,1,-0.9599111042891306
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-0.5,1.7,1.66,S2,0.019650980230319193,1.58,S2,0.0022301602906277,0.07999999999999985,1,1,-0.9309405702604736
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-0.5,2.2,1.73,S3,0.040674437630264015,1.58,S2,0.0022301602906277,0.1499999999999999,0,0,1.128547701039554
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-0.5,3.0,1.78,S3,0.006233559694933,1.58,S2,0.0022301602906277,0.19999999999999996,0,0,1.1957681400072195
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.0,0.3,1.45,S1,0.03345393575887157,1.58,S2,0.0022301602906277,0.13000000000000012,0,0,1.1121579519752505
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.0,0.5,1.45,S1,0.028307660350879504,1.58,S2,0.0022301602906277,0.13000000000000012,0,0,1.1147310896792464
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.0,0.8,1.48,,0.022466528538001462,1.58,S2,0.0022301602906277,0.10000000000000009,0,1,0.08765165558568544
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.0,1.0,1.52,,0.031940508315825844,1.58,S2,0.0022301602906277,0.06000000000000005,0,1,0.04291466569677316
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.0,1.3,1.58,S2,0.013068441920715657,1.58,S2,0.0022301602906277,0.0,1,1,-1.0076493011056717
