run_id,t,p_family,theta,source_feature,best_alpha_source,alpha_pref_readout,mu_S1_source,mu_S2_source,mu_S3_source,mu_S1_readout,mu_S2_readout,mu_S3_readout,soft_overlap_score,soft_best_branch_source,soft_best_branch_readout,soft_branch_match_flag
M33_V0_alpha_peak_robustness,5.0,P1,1e-08,abs,1.52,1.42,0.2493522087772956,0.4111122905071868,0.00016985667656141068,1.0,0.011108996538242207,4.08283604114246e-08,0.25391925379630376,S2,S1,0
M33_V0_alpha_peak_robustness,5.0,P2,1e-09,abs,1.4,1.4,0.9459594689067654,0.00386592013947277,5.525517720366653e-09,0.9459594689067654,0.00386592013947277,5.525517720366653e-09,0.8948542621528945,S1,S1,1
M33_V0_alpha_peak_robustness,5.0,P2,3e-09,abs,1.4,1.4,0.9459594689067654,0.00386592013947277,5.525517720366653e-09,0.9459594689067654,0.00386592013947277,5.525517720366653e-09,0.8948542621528945,S1,S1,1
M33_V0_alpha_peak_robustness,5.0,P2,1e-08,abs,1.4,1.4,0.9459594689067654,0.00386592013947277,5.525517720366653e-09,0.9459594689067654,0.00386592013947277,5.525517720366653e-09,0.8948542621528945,S1,S1,1
M33_V0_alpha_peak_robustness,5.0,P3,1e-09,neg,1.46,1.45,0.8007374029168077,0.06572852861653015,1.5972578828343078e-06,0.8824969025845952,0.043936933623407164,6.658361469857267e-07,0.7095361878577681,S1,S1,1
M33_V0_alpha_peak_robustness,5.0,P3,3e-09,neg,1.46,1.45,0.8007374029168077,0.06572852861653015,1.5972578828343078e-06,0.8824969025845952,0.043936933623407164,6.658361469857267e-07,0.7095361878577681,S1,S1,1
M33_V0_alpha_peak_robustness,5.0,P3,1e-08,neg,1.46,1.45,0.8007374029168077,0.06572852861653015,1.5972578828343078e-06,0.8824969025845952,0.043936933623407164,6.658361469857267e-07,0.7095361878577681,S1,S1,1
M33_V0_alpha_peak_robustness,10.0,P0,1e-09,abs,1.68,1.58,8.364834722972752e-05,0.4111122905071888,0.324652467358349,0.02856550078455019,0.9459594689067654,0.0066450112827414224,0.39105527275471863,S2,S2,1
M33_V0_alpha_peak_robustness,10.0,P0,3e-09,abs,1.68,1.58,8.364834722972752e-05,0.4111122905071888,0.324652467358349,0.02856550078455019,0.9459594689067654,0.0066450112827414224,0.39105527275471863,S2,S2,1
M33_V0_alpha_peak_robustness,10.0,P0,1e-08,abs,1.68,1.58,8.364834722972752e-05,0.4111122905071888,0.324652467358349,0.02856550078455019,0.9459594689067654,0.0066450112827414224,0.39105527275471863,S2,S2,1
M33_V0_alpha_peak_robustness,10.0,P1,1e-09,abs,1.52,1.58,0.2493522087772956,0.4111122905071868,0.00016985667656141068,0.02856550078455019,0.9459594689067654,0.0066450112827414224,0.3960195634042116,S2,S2,1
M33_V0_alpha_peak_robustness,10.0,P1,3e-09,abs,1.52,1.58,0.2493522087772956,0.4111122905071868,0.00016985667656141068,0.02856550078455019,0.9459594689067654,0.0066450112827414224,0.3960195634042116,S2,S2,1
M33_V0_alpha_peak_robustness,10.0,P1,1e-08,abs,1.52,1.58,0.2493522087772956,0.4111122905071868,0.00016985667656141068,0.02856550078455019,0.9459594689067654,0.0066450112827414224,0.3960195634042116,S2,S2,1
M33_V0_alpha_peak_robustness,10.0,P2,1e-09,neg,1.78,1.78,1.5229979744712467e-08,0.011108996538242336,0.9862071167439161,1.5229979744712467e-08,0.011108996538242336,0.9862071167439161,0.9727278869204351,S3,S3,1
M33_V0_alpha_peak_robustness,10.0,P2,3e-09,neg,1.78,1.78,1.5229979744712467e-08,0.011108996538242336,0.9862071167439161,1.5229979744712467e-08,0.011108996538242336,0.9862071167439161,0.9727278869204351,S3,S3,1
M33_V0_alpha_peak_robustness,10.0,P2,1e-08,neg,1.78,1.78,1.5229979744712467e-08,0.011108996538242336,0.9862071167439161,1.5229979744712467e-08,0.011108996538242336,0.9862071167439161,0.9727278869204351,S3,S3,1
M33_V0_alpha_peak_robustness,10.0,P3,1e-09,neg,1.56,1.57,0.06572852861653015,0.8007374029168077,0.002187491118182889,0.043936933623407164,0.8824969025845952,0.003865920139472818,0.7095446445226733,S2,S2,1
M33_V0_alpha_peak_robustness,10.0,P3,3e-09,neg,1.56,1.57,0.06572852861653015,0.8007374029168077,0.002187491118182889,0.043936933623407164,0.8824969025845952,0.003865920139472818,0.7095446445226733,S2,S2,1
M33_V0_alpha_peak_robustness,10.0,P3,1e-08,neg,1.64,1.64,0.001203859994828204,0.8007374029168097,0.09563444483253822,0.001203859994828204,0.8007374029168097,0.09563444483253822,0.6503277847472723,S2,S2,1
M33_V0_alpha_peak_robustness,20.0,P0,1e-09,abs,1.38,1.42,0.8007374029168077,0.001203859994828188,6.691586091292686e-10,1.0,0.011108996538242207,4.08283604114246e-08,0.8007507765933228,S1,S1,1
M33_V0_alpha_peak_robustness,20.0,P0,3e-09,abs,1.38,1.42,0.8007374029168077,0.001203859994828188,6.691586091292686e-10,1.0,0.011108996538242207,4.08283604114246e-08,0.8007507765933228,S1,S1,1
M33_V0_alpha_peak_robustness,20.0,P0,1e-08,abs,1.38,1.42,0.8007374029168077,0.001203859994828188,6.691586091292686e-10,1.0,0.011108996538242207,4.08283604114246e-08,0.8007507765933228,S1,S1,1
M33_V0_alpha_peak_robustness,20.0,P1,1e-09,abs,1.38,1.41,0.8007374029168077,0.001203859994828188,6.691586091292686e-10,0.9862071167439161,0.006645011282741345,1.5229979744712467e-08,0.789700925062845,S1,S1,1
M33_V0_alpha_peak_robustness,20.0,P1,3e-09,abs,1.38,1.41,0.8007374029168077,0.001203859994828188,6.691586091292686e-10,0.9862071167439161,0.006645011282741345,1.5229979744712467e-08,0.789700925062845,S1,S1,1
M33_V0_alpha_peak_robustness,20.0,P1,1e-08,abs,1.38,1.41,0.8007374029168077,0.001203859994828188,6.691586091292686e-10,0.9862071167439161,0.006645011282741345,1.5229979744712467e-08,0.789700925062845,S1,S1,1
M33_V0_alpha_peak_robustness,20.0,P2,1e-09,neg,1.78,1.73,1.5229979744712467e-08,0.011108996538242336,0.9862071167439161,1.5972578828343078e-06,0.095634444832539,0.8007374029168077,0.7907553281162022,S3,S3,1
