pair_a,pair_b,i_a,j_a,i_b,j_b,delta_a,delta_b,abs_delta_a,abs_delta_b,same_abs_delta,edge_candidate_flag,strength,theta_edge,strength_margin,abs_delta_gap,same_orientation,shares_left_index,shares_right_index,shares_any_index,pair_index_sum_gap,source_native_features_present,source_feature_columns
4|3,6|4,4,3,6,4,-1,-2,1,2,false,0,0.2423545674493508,0.5,-0.2576454325506492,1,true,false,false,true,3,false,
4|5,4|6,4,5,4,6,1,2,1,2,false,0,0.24235456744935086,0.5,-0.25764543255064914,1,true,true,false,true,1,false,
4|5,5|3,4,5,5,3,1,-2,1,2,false,0,0.24235456744935086,0.5,-0.25764543255064914,1,false,false,false,true,1,false,
4|5,6|4,4,5,6,4,1,-2,1,2,false,0,0.2423545674493508,0.5,-0.2576454325506492,1,false,false,false,true,1,false,
5|4,6|4,5,4,6,4,-1,-2,1,2,false,0,0.2423545674493508,0.5,-0.2576454325506492,1,true,false,true,true,1,false,
5|6,6|4,5,6,6,4,1,-2,1,2,false,0,0.2423545674493508,0.5,-0.2576454325506492,1,false,false,false,true,1,false,
0|1,0|3,0,1,0,3,1,3,1,3,false,0,0.31132172327636765,0.5,-0.18867827672363235,2,true,true,false,true,2,false,
0|1,1|4,0,1,1,4,1,3,1,3,false,0,0.31132172327636765,0.5,-0.18867827672363235,2,true,false,false,true,4,false,
0|1,2|5,0,1,2,5,1,3,1,3,false,0,0.31132172327636765,0.5,-0.18867827672363235,2,true,false,false,false,6,false,
0|1,3|0,0,1,3,0,1,-3,1,3,false,0,0.31132172327636765,0.5,-0.18867827672363235,2,false,false,false,true,2,false,
0|1,3|6,0,1,3,6,1,3,1,3,false,0,0.31132172327636765,0.5,-0.18867827672363235,2,true,false,false,false,8,false,
0|1,4|1,0,1,4,1,1,-3,1,3,false,0,0.31132172327636765,0.5,-0.18867827672363235,2,false,false,true,true,4,false,
0|1,5|2,0,1,5,2,1,-3,1,3,false,0,0.31132172327636765,0.5,-0.18867827672363235,2,false,false,false,false,6,false,
0|1,6|3,0,1,6,3,1,-3,1,3,false,0,0.31132172327636765,0.5,-0.18867827672363235,2,false,false,false,false,8,false,
1|0,1|4,1,0,1,4,-1,3,1,3,false,0,0.3113217232763676,0.5,-0.1886782767236324,2,false,true,false,true,4,false,
1|0,2|5,1,0,2,5,-1,3,1,3,false,0,0.3113217232763676,0.5,-0.1886782767236324,2,false,false,false,false,6,false,
1|0,3|0,1,0,3,0,-1,-3,1,3,false,0,0.31132172327636765,0.5,-0.18867827672363235,2,true,false,true,true,2,false,
1|0,3|6,1,0,3,6,-1,3,1,3,false,0,0.3113217232763676,0.5,-0.1886782767236324,2,false,false,false,false,8,false,
1|0,4|1,1,0,4,1,-1,-3,1,3,false,0,0.31132172327636765,0.5,-0.18867827672363235,2,true,false,false,true,4,false,
1|0,5|2,1,0,5,2,-1,-3,1,3,false,0,0.31132172327636765,0.5,-0.18867827672363235,2,true,false,false,false,6,false,
1|0,6|3,1,0,6,3,-1,-3,1,3,false,0,0.31132172327636765,0.5,-0.18867827672363235,2,true,false,false,false,8,false,
1|2,1|4,1,2,1,4,1,3,1,3,false,0,0.3113217232763676,0.5,-0.1886782767236324,2,true,true,false,true,2,false,
1|2,2|5,1,2,2,5,1,3,1,3,false,0,0.3113217232763676,0.5,-0.1886782767236324,2,true,false,false,true,4,false,
1|2,3|0,1,2,3,0,1,-3,1,3,false,0,0.31132172327636765,0.5,-0.18867827672363235,2,false,false,false,false,0,false,
1|2,3|6,1,2,3,6,1,3,1,3,false,0,0.3113217232763676,0.5,-0.1886782767236324,2,true,false,false,false,6,false,
1|2,4|1,1,2,4,1,1,-3,1,3,false,0,0.31132172327636765,0.5,-0.18867827672363235,2,false,false,false,true,2,false,
1|2,5|2,1,2,5,2,1,-3,1,3,false,0,0.31132172327636765,0.5,-0.18867827672363235,2,false,false,true,true,4,false,
1|2,6|3,1,2,6,3,1,-3,1,3,false,0,0.31132172327636765,0.5,-0.18867827672363235,2,false,false,false,false,6,false,
2|1,2|5,2,1,2,5,-1,3,1,3,false,0,0.31132172327636753,0.5,-0.18867827672363247,2,false,true,false,true,4,false,
2|1,3|0,2,1,3,0,-1,-3,1,3,false,0,0.31132172327636765,0.5,-0.18867827672363235,2,true,false,false,false,0,false,
2|1,3|6,2,1,3,6,-1,3,1,3,false,0,0.31132172327636753,0.5,-0.18867827672363247,2,false,false,false,false,6,false,
2|1,4|1,2,1,4,1,-1,-3,1,3,false,0,0.31132172327636765,0.5,-0.18867827672363235,2,true,false,true,true,2,false,
2|1,5|2,2,1,5,2,-1,-3,1,3,false,0,0.31132172327636765,0.5,-0.18867827672363235,2,true,false,false,true,4,false,
2|1,6|3,2,1,6,3,-1,-3,1,3,false,0,0.31132172327636765,0.5,-0.18867827672363235,2,true,false,false,false,6,false,
2|3,2|5,2,3,2,5,1,3,1,3,false,0,0.3113217232763676,0.5,-0.1886782767236324,2,true,true,false,true,2,false,
2|3,3|0,2,3,3,0,1,-3,1,3,false,0,0.31132172327636765,0.5,-0.18867827672363235,2,false,false,false,true,2,false,
2|3,3|6,2,3,3,6,1,3,1,3,false,0,0.3113217232763676,0.5,-0.1886782767236324,2,true,false,false,true,4,false,
2|3,4|1,2,3,4,1,1,-3,1,3,false,0,0.31132172327636765,0.5,-0.18867827672363235,2,false,false,false,false,0,false,
2|3,5|2,2,3,5,2,1,-3,1,3,false,0,0.31132172327636765,0.5,-0.18867827672363235,2,false,false,false,true,2,false,
2|3,6|3,2,3,6,3,1,-3,1,3,false,0,0.31132172327636765,0.5,-0.18867827672363235,2,false,false,true,true,4,false,
3|2,3|6,3,2,3,6,-1,3,1,3,false,0,0.31132172327636753,0.5,-0.18867827672363247,2,false,true,false,true,4,false,
3|2,4|1,3,2,4,1,-1,-3,1,3,false,0,0.31132172327636765,0.5,-0.18867827672363235,2,true,false,false,false,0,false,
3|2,5|2,3,2,5,2,-1,-3,1,3,false,0,0.31132172327636765,0.5,-0.18867827672363235,2,true,false,true,true,2,false,
3|2,6|3,3,2,6,3,-1,-3,1,3,false,0,0.31132172327636765,0.5,-0.18867827672363235,2,true,false,false,true,4,false,
3|4,3|6,3,4,3,6,1,3,1,3,false,0,0.3113217232763676,0.5,-0.1886782767236324,2,true,true,false,true,2,false,
3|4,4|1,3,4,4,1,1,-3,1,3,false,0,0.31132172327636765,0.5,-0.18867827672363235,2,false,false,false,true,2,false,
3|4,5|2,3,4,5,2,1,-3,1,3,false,0,0.31132172327636765,0.5,-0.18867827672363235,2,false,false,false,false,0,false,
3|4,6|3,3,4,6,3,1,-3,1,3,false,0,0.31132172327636765,0.5,-0.18867827672363235,2,false,false,false,true,2,false,
4|3,5|2,4,3,5,2,-1,-3,1,3,false,0,0.31132172327636765,0.5,-0.18867827672363235,2,true,false,false,false,0,false,
4|3,6|3,4,3,6,3,-1,-3,1,3,false,0,0.31132172327636765,0.5,-0.18867827672363235,2,true,false,true,true,2,false,
4|5,5|2,4,5,5,2,1,-3,1,3,false,0,0.31132172327636765,0.5,-0.18867827672363235,2,false,false,false,true,2,false,
4|5,6|3,4,5,6,3,1,-3,1,3,false,0,0.31132172327636765,0.5,-0.18867827672363235,2,false,false,false,false,0,false,
5|4,6|3,5,4,6,3,-1,-3,1,3,false,0,0.31132172327636765,0.5,-0.18867827672363235,2,true,false,false,false,0,false,
5|6,6|3,5,6,6,3,1,-3,1,3,false,0,0.31132172327636765,0.5,-0.18867827672363235,2,false,false,false,true,2,false,
0|1,0|4,0,1,0,4,1,4,1,4,false,0,0.10651164470321299,0.5,-0.393488355296787,3,true,true,false,true,3,false,
0|1,1|5,0,1,1,5,1,4,1,4,false,0,0.10651164470321299,0.5,-0.393488355296787,3,true,false,false,true,5,false,
0|1,2|6,0,1,2,6,1,4,1,4,false,0,0.10651164470321299,0.5,-0.393488355296787,3,true,false,false,false,7,false,
0|1,4|0,0,1,4,0,1,-4,1,4,false,0,0.10651164470321299,0.5,-0.393488355296787,3,false,false,false,true,3,false,
0|1,5|1,0,1,5,1,1,-4,1,4,false,0,0.10651164470321299,0.5,-0.393488355296787,3,false,false,true,true,5,false,
0|1,6|2,0,1,6,2,1,-4,1,4,false,0,0.10651164470321299,0.5,-0.393488355296787,3,false,false,false,false,7,false,
1|0,1|5,1,0,1,5,-1,4,1,4,false,0,0.10651164470321303,0.5,-0.39348835529678694,3,false,true,false,true,5,false,
1|0,2|6,1,0,2,6,-1,4,1,4,false,0,0.10651164470321303,0.5,-0.39348835529678694,3,false,false,false,false,7,false,
1|0,4|0,1,0,4,0,-1,-4,1,4,false,0,0.10651164470321299,0.5,-0.393488355296787,3,true,false,true,true,3,false,
1|0,5|1,1,0,5,1,-1,-4,1,4,false,0,0.10651164470321299,0.5,-0.393488355296787,3,true,false,false,true,5,false,
1|0,6|2,1,0,6,2,-1,-4,1,4,false,0,0.10651164470321299,0.5,-0.393488355296787,3,true,false,false,false,7,false,
1|2,1|5,1,2,1,5,1,4,1,4,false,0,0.10651164470321303,0.5,-0.39348835529678694,3,true,true,false,true,3,false,
1|2,2|6,1,2,2,6,1,4,1,4,false,0,0.10651164470321303,0.5,-0.39348835529678694,3,true,false,false,true,5,false,
1|2,4|0,1,2,4,0,1,-4,1,4,false,0,0.10651164470321299,0.5,-0.393488355296787,3,false,false,false,false,1,false,
1|2,5|1,1,2,5,1,1,-4,1,4,false,0,0.10651164470321299,0.5,-0.393488355296787,3,false,false,false,true,3,false,
1|2,6|2,1,2,6,2,1,-4,1,4,false,0,0.10651164470321299,0.5,-0.393488355296787,3,false,false,true,true,5,false,
2|1,2|6,2,1,2,6,-1,4,1,4,false,0,0.10651164470321303,0.5,-0.39348835529678694,3,false,true,false,true,5,false,
2|1,4|0,2,1,4,0,-1,-4,1,4,false,0,0.10651164470321299,0.5,-0.393488355296787,3,true,false,false,false,1,false,
2|1,5|1,2,1,5,1,-1,-4,1,4,false,0,0.10651164470321299,0.5,-0.393488355296787,3,true,false,true,true,3,false,
2|1,6|2,2,1,6,2,-1,-4,1,4,false,0,0.10651164470321299,0.5,-0.393488355296787,3,true,false,false,true,5,false,
2|3,2|6,2,3,2,6,1,4,1,4,false,0,0.10651164470321303,0.5,-0.39348835529678694,3,true,true,false,true,3,false,
2|3,4|0,2,3,4,0,1,-4,1,4,false,0,0.10651164470321299,0.5,-0.393488355296787,3,false,false,false,false,1,false,
2|3,5|1,2,3,5,1,1,-4,1,4,false,0,0.10651164470321299,0.5,-0.393488355296787,3,false,false,false,false,1,false,
2|3,6|2,2,3,6,2,1,-4,1,4,false,0,0.10651164470321299,0.5,-0.393488355296787,3,false,false,false,true,3,false,
3|2,4|0,3,2,4,0,-1,-4,1,4,false,0,0.10651164470321299,0.5,-0.393488355296787,3,true,false,false,false,1,false,
3|2,5|1,3,2,5,1,-1,-4,1,4,false,0,0.10651164470321299,0.5,-0.393488355296787,3,true,false,false,false,1,false,
3|2,6|2,3,2,6,2,-1,-4,1,4,false,0,0.10651164470321299,0.5,-0.393488355296787,3,true,false,true,true,3,false,
3|4,4|0,3,4,4,0,1,-4,1,4,false,0,0.10651164470321299,0.5,-0.393488355296787,3,false,false,false,true,3,false,
3|4,5|1,3,4,5,1,1,-4,1,4,false,0,0.10651164470321299,0.5,-0.393488355296787,3,false,false,false,false,1,false,
3|4,6|2,3,4,6,2,1,-4,1,4,false,0,0.10651164470321299,0.5,-0.393488355296787,3,false,false,false,false,1,false,
4|3,5|1,4,3,5,1,-1,-4,1,4,false,0,0.10651164470321299,0.5,-0.393488355296787,3,true,false,false,false,1,false,
4|3,6|2,4,3,6,2,-1,-4,1,4,false,0,0.10651164470321299,0.5,-0.393488355296787,3,true,false,false,false,1,false,
4|5,5|1,4,5,5,1,1,-4,1,4,false,0,0.10651164470321299,0.5,-0.393488355296787,3,false,false,false,true,3,false,
4|5,6|2,4,5,6,2,1,-4,1,4,false,0,0.10651164470321299,0.5,-0.393488355296787,3,false,false,false,false,1,false,
5|4,6|2,5,4,6,2,-1,-4,1,4,false,0,0.10651164470321299,0.5,-0.393488355296787,3,true,false,false,false,1,false,
5|6,6|2,5,6,6,2,1,-4,1,4,false,0,0.10651164470321299,0.5,-0.393488355296787,3,false,false,false,true,3,false,
0|1,0|5,0,1,0,5,1,5,1,5,false,0,0.18664400870287973,0.5,-0.3133559912971203,4,true,true,false,true,4,false,
0|1,1|6,0,1,1,6,1,5,1,5,false,0,0.18664400870287973,0.5,-0.3133559912971203,4,true,false,false,true,6,false,
0|1,5|0,0,1,5,0,1,-5,1,5,false,0,0.18664400870287964,0.5,-0.31335599129712033,4,false,false,false,true,4,false,
