residual_model,group_key,edge_rows,strength_min,strength_median,strength_mean,strength_max,residual_min,residual_median,residual_mean,residual_max,residual_abs_mean,residual_nonzero_count
fine_label_features,"abs_delta_pair=2,3|same_orientation=false|shares_any_index=true",24,0.0780082760320604,0.0780082760320604,0.07800827603206041,0.07800827603206043,-1.3877787807814457e-17,-1.3877787807814457e-17,-4.625929269271485e-18,1.3877787807814457e-17,1.3877787807814457e-17,0
fine_label_features,"abs_delta_pair=2,3|same_orientation=true|shares_any_index=false",16,0.0780082760320604,0.0780082760320604,0.0780082760320604,0.07800827603206043,0.0,0.0,6.938893903907228e-18,2.7755575615628914e-17,6.938893903907228e-18,0
fine_label_features,"abs_delta_pair=2,3|same_orientation=true|shares_any_index=true",24,0.0780082760320604,0.0780082760320604,0.07800827603206041,0.07800827603206043,-1.3877787807814457e-17,-1.3877787807814457e-17,-4.625929269271485e-18,1.3877787807814457e-17,1.3877787807814457e-17,0
fine_label_features,"abs_delta_pair=2,4|same_orientation=false|shares_any_index=false",14,0.26200393827198853,0.26200393827198853,0.2620039382719886,0.2620039382719886,-5.551115123125783e-17,-2.7755575615628914e-17,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,0
fine_label_features,"abs_delta_pair=2,4|same_orientation=false|shares_any_index=true",16,0.26200393827198853,0.26200393827198853,0.26200393827198853,0.2620039382719886,0.0,2.7755575615628914e-17,2.7755575615628914e-17,5.551115123125783e-17,2.7755575615628914e-17,0
fine_label_features,"abs_delta_pair=2,4|same_orientation=true|shares_any_index=false",14,0.2620039382719885,0.26200393827198853,0.26200393827198853,0.26200393827198865,-5.551115123125783e-17,0.0,7.93016446160826e-18,1.1102230246251565e-16,6.344131569286608e-17,0
fine_label_features,"abs_delta_pair=2,4|same_orientation=true|shares_any_index=true",16,0.2620039382719885,0.26200393827198853,0.26200393827198853,0.26200393827198865,-5.551115123125783e-17,0.0,1.3877787807814457e-17,1.1102230246251565e-16,6.938893903907228e-17,0
fine_label_features,"abs_delta_pair=2,5|same_orientation=false|shares_any_index=false",12,0.04845091076863317,0.04845091076863321,0.0484509107686332,0.04845091076863323,-2.7755575615628914e-17,1.3877787807814457e-17,3.469446951953614e-18,3.469446951953614e-17,2.1973164029039556e-17,0
fine_label_features,"abs_delta_pair=2,5|same_orientation=false|shares_any_index=true",8,0.04845091076863317,0.04845091076863321,0.048450910768633206,0.04845091076863323,-3.469446951953614e-17,6.938893903907228e-18,1.734723475976807e-18,2.7755575615628914e-17,1.9081958235744878e-17,0
fine_label_features,"abs_delta_pair=2,5|same_orientation=true|shares_any_index=false",12,0.04845091076863317,0.04845091076863319,0.04845091076863319,0.04845091076863321,-2.0816681711721685e-17,0.0,0.0,2.0816681711721685e-17,1.3877787807814457e-17,0
fine_label_features,"abs_delta_pair=2,5|same_orientation=true|shares_any_index=true",8,0.04845091076863317,0.0484509107686332,0.0484509107686332,0.04845091076863321,-2.7755575615628914e-17,3.469446951953614e-18,-1.734723475976807e-18,1.3877787807814457e-17,1.5612511283791264e-17,0
fine_label_features,"abs_delta_pair=2,6|same_orientation=false|shares_any_index=false",6,0.34091958020143304,0.3409195802014331,0.3409195802014331,0.34091958020143315,-5.551115123125783e-17,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,0
fine_label_features,"abs_delta_pair=2,6|same_orientation=false|shares_any_index=true",4,0.34091958020143304,0.3409195802014331,0.3409195802014331,0.34091958020143315,-5.551115123125783e-17,0.0,0.0,5.551115123125783e-17,5.551115123125783e-17,0
fine_label_features,"abs_delta_pair=2,6|same_orientation=true|shares_any_index=false",6,0.3409195802014331,0.3409195802014331,0.3409195802014331,0.34091958020143315,0.0,2.7755575615628914e-17,2.7755575615628914e-17,5.551115123125783e-17,2.7755575615628914e-17,0
fine_label_features,"abs_delta_pair=2,6|same_orientation=true|shares_any_index=true",4,0.34091958020143304,0.3409195802014331,0.3409195802014331,0.3409195802014331,-5.551115123125783e-17,-2.7755575615628914e-17,-2.7755575615628914e-17,0.0,2.7755575615628914e-17,0
fine_label_features,"abs_delta_pair=3,3|same_orientation=false|shares_any_index=false",10,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
fine_label_features,"abs_delta_pair=3,3|same_orientation=false|shares_any_index=true",6,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
fine_label_features,"abs_delta_pair=3,3|same_orientation=true|shares_any_index=false",10,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
fine_label_features,"abs_delta_pair=3,3|same_orientation=true|shares_any_index=true",2,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
fine_label_features,"abs_delta_pair=3,4|same_orientation=false|shares_any_index=false",12,0.02815337486850762,0.02815337486850762,0.02815337486850762,0.02815337486850762,0.0,0.0,0.0,0.0,0.0,0
fine_label_features,"abs_delta_pair=3,4|same_orientation=false|shares_any_index=true",12,0.02815337486850762,0.02815337486850762,0.02815337486850762,0.02815337486850762,0.0,0.0,0.0,0.0,0.0,0
fine_label_features,"abs_delta_pair=3,4|same_orientation=true|shares_any_index=false",12,0.02815337486850762,0.02815337486850762,0.02815337486850762,0.02815337486850762,0.0,0.0,0.0,0.0,0.0,0
fine_label_features,"abs_delta_pair=3,4|same_orientation=true|shares_any_index=true",12,0.02815337486850762,0.02815337486850762,0.02815337486850762,0.02815337486850762,0.0,0.0,0.0,0.0,0.0,0
fine_label_features,"abs_delta_pair=3,5|same_orientation=false|shares_any_index=false",8,0.050057322793776914,0.050057322793776914,0.050057322793776914,0.050057322793776914,0.0,0.0,0.0,0.0,0.0,0
fine_label_features,"abs_delta_pair=3,5|same_orientation=false|shares_any_index=true",8,0.050057322793776914,0.050057322793776914,0.050057322793776914,0.050057322793776914,0.0,0.0,0.0,0.0,0.0,0
fine_label_features,"abs_delta_pair=3,5|same_orientation=true|shares_any_index=false",8,0.050057322793776914,0.05005732279377693,0.05005732279377693,0.05005732279377694,-1.3877787807814457e-17,0.0,0.0,1.3877787807814457e-17,1.3877787807814457e-17,0
fine_label_features,"abs_delta_pair=3,5|same_orientation=true|shares_any_index=true",8,0.050057322793776914,0.05005732279377693,0.05005732279377693,0.05005732279377694,-1.3877787807814457e-17,0.0,0.0,1.3877787807814457e-17,1.3877787807814457e-17,0
fine_label_features,"abs_delta_pair=3,6|same_orientation=false|shares_any_index=false",4,0.2496419050598439,0.2496419050598439,0.2496419050598439,0.2496419050598439,0.0,0.0,0.0,0.0,0.0,0
fine_label_features,"abs_delta_pair=3,6|same_orientation=false|shares_any_index=true",4,0.2496419050598439,0.2496419050598439,0.2496419050598439,0.2496419050598439,0.0,0.0,0.0,0.0,0.0,0
fine_label_features,"abs_delta_pair=3,6|same_orientation=true|shares_any_index=false",4,0.2496419050598439,0.24964190505984393,0.24964190505984393,0.24964190505984396,-2.7755575615628914e-17,0.0,0.0,2.7755575615628914e-17,2.7755575615628914e-17,0
