pair_set_id,fsw_regime_id,ao_regime_id,feature_name,fsw_value,ao_value,raw_difference,abs_difference,normalized_difference,feature_weight,weighted_difference,relative_contribution,contribution_judgement
FSW_CORE_VS_AO_PREJUMP,FSW_D05,AO_A08,delta_p2_relative_gain_vs_type_A,0.223,0.135,-0.088,0.088,0.2135922330097086,1.0,0.2135922330097086,0.1543625108761317,moderate
FSW_CORE_VS_AO_PREJUMP,FSW_D05,AO_A08,distance_to_type_D,0.24016,0.3,0.0598399999999999,0.0598399999999999,0.2221694190329095,1.0,0.2221694190329095,0.16056121928484415,moderate
FSW_CORE_VS_AO_PREJUMP,FSW_D05,AO_A08,spacing_cv,0.2862851439971509,0.2702443602646979,-0.0160407837324529,0.0160407837324529,0.0355902546751051,0.8,0.028472203740084,0.020576782205822916,minor
FSW_CORE_VS_AO_PREJUMP,FSW_D05,AO_A08,grid_deviation_score,0.23,0.5449999999999995,0.3149999999999995,0.3149999999999995,0.425675675675675,1.0,0.425675675675675,0.3076346231803494,strong
FSW_CORE_VS_AO_PREJUMP,FSW_D05,AO_A08,simple_rigidity_surrogate,0.04016,0.2170639999999997,0.1769039999999997,0.1769039999999997,0.411496520153336,1.2,0.4937958241840031,0.3568648644528518,strong
FSW_CORE_VS_AO_PREJUMP,FSW_D06,AO_A07,delta_p2_relative_gain_vs_type_A,0.257,0.1389999999999999,-0.1180000000000001,0.1180000000000001,0.2864077669902914,1.0,0.2864077669902914,0.23997650490139386,moderate
FSW_CORE_VS_AO_PREJUMP,FSW_D06,AO_A07,distance_to_type_D,0.245176,0.3,0.0548239999999999,0.0548239999999999,0.2035463942022097,1.0,0.2035463942022097,0.17054828079289977,moderate
FSW_CORE_VS_AO_PREJUMP,FSW_D06,AO_A07,spacing_cv,0.3134903621063912,0.2405258952793052,-0.0729644668270859,0.0729644668270859,0.1618888453283907,0.8,0.1295110762627126,0.10851526742498284,moderate
FSW_CORE_VS_AO_PREJUMP,FSW_D06,AO_A07,grid_deviation_score,0.2450000000000001,0.4533333333333335,0.2083333333333333,0.2083333333333333,0.2815315315315316,1.0,0.2815315315315316,0.2358907848988735,moderate
FSW_CORE_VS_AO_PREJUMP,FSW_D06,AO_A07,simple_rigidity_surrogate,0.045176,0.1499600000000001,0.1047840000000001,0.1047840000000001,0.2437381368863749,1.2,0.2924857642636498,0.24506916198185005,moderate
FSW_CORE_VS_AO_PREJUMP,FSW_D06,AO_A08,delta_p2_relative_gain_vs_type_A,0.257,0.135,-0.122,0.122,0.2961165048543688,1.0,0.2961165048543688,0.20259417097684781,moderate
