run_id,t,p_family,theta,alpha_star_chi_global,alpha_star_lambda2_global,alpha_star_wclust_global,alpha_coherent_global,coherence_score_global,alpha_star_chi_band,alpha_star_lambda2_band,alpha_star_wclust_band,alpha_coherent_band,coherence_score_band,chi_peak_value_global,lambda2_min_value_global,wclust_peak_value_global,chi_prominence_global,lambda2_prominence_global,wclust_prominence_global,delta_chi_lambda2_global,delta_chi_wclust_global,chi_peak_value_band,lambda2_min_value_band,wclust_peak_value_band,chi_prominence_band,lambda2_prominence_band,wclust_prominence_band,delta_chi_lambda2_band,delta_chi_wclust_band,preferred_scope,preferred_alpha_coherent,preferred_coherence_score,readout_in_band_flag,readout_label
M33_V0_alpha_peak_robustness,5.0,P2,1e-09,0.6,0.7,0.7,0.6499999999999999,0.1677716024496849,1.38,1.42,1.4,1.4,0.015370305546303031,0.5452121739329338,1.4327330261396715e-07,0.2578779955924864,0.22183437148450946,5.661372548719735e-09,0.03374890121521157,0.09999999999999998,0.050000000000000044,0.7090232555817548,8.360164839303245e-08,0.19274759922390539,0.026430230891083317,1.1427477879229953e-07,0.03575984152176376,0.040000000000000036,0.0,band,1.4,0.015370305546303031,1,R3
M33_V0_alpha_peak_robustness,5.0,P2,3e-09,0.6,0.7,0.7,0.6499999999999999,0.16777159886602858,1.38,1.42,1.4,1.4,0.015279778620765516,0.5452121739329338,1.4327330261396715e-07,0.2578779955924864,0.22183437148450946,2.0777162319696367e-09,0.03374890121521157,0.09999999999999998,0.050000000000000044,0.7108942798883189,8.153334509321191e-08,0.19274759922390539,0.028301255197647368,1.1634308209212007e-07,0.027913628320144296,0.040000000000000036,0.0,band,1.4,0.015279778620765516,1,R3
M33_V0_alpha_peak_robustness,5.0,P2,1e-08,2.5,2.6,2.5,2.55,0.11108249786676822,1.38,1.42,1.4,1.4,0.013764070163610934,-0.3385730873721499,7.92816038130191e-08,0.2513613643071861,0.16409614604531692,4.059098755581758e-08,0.03794524492185508,0.10000000000000009,0.04999999999999982,0.7157440826870332,6.57465926480735e-08,0.19781184838657412,0.031897075919326445,1.2361137479612303e-07,0.007467482531638842,0.040000000000000036,0.0,band,1.4,0.013764070163610934,1,R3
M33_V0_alpha_peak_robustness,5.0,P3,1e-09,2.3,2.3,2.4,2.3,0.642023505289781,1.46,1.44,1.48,1.45,0.09813398105004278,0.5999459929201029,1.620478514699536e-07,0.2233872456960499,0.663989212779849,1.2473377111335943e-08,0.012137120146219593,0.0,0.10000000000000009,0.04550185212665159,1.4530894811093587e-07,0.24007398143520703,0.11258888976413688,2.1557688656109888e-09,0.012180356520548219,0.020000000000000018,0.030000000000000027,band,1.45,0.09813398105004278,1,R3
M33_V0_alpha_peak_robustness,5.0,P3,3e-09,2.3,2.3,2.4,2.3,0.6419309257767485,1.46,1.44,1.48,1.45,0.09806376148933707,0.5999459929201029,1.620478514699536e-07,0.23337673363624636,0.6613992613343306,1.2420813951801856e-08,0.02212660808641606,0.0,0.10000000000000009,0.04550185212665159,1.445003888466644e-07,0.25036776305398567,0.11251901859437721,2.9643281298824684e-09,0.012178959722527,0.020000000000000018,0.030000000000000027,band,1.45,0.09806376148933707,1,R3
M33_V0_alpha_peak_robustness,5.0,P3,1e-08,2.3,2.3,2.4,2.3,0.6416280421837361,1.46,1.44,1.48,1.45,0.1105253708907454,0.601904571289002,1.557572173174582e-07,0.23337673363624636,0.6633578397032297,7.3698125432621554e-09,0.013080780442775664,0.0,0.10000000000000009,0.05284314413928167,1.3149818262700648e-07,0.26877795762345985,0.12037807471730455,7.600440581428558e-09,0.03058915429200118,0.020000000000000018,0.030000000000000027,band,1.45,0.1105253708907454,1,R3
M33_V0_alpha_peak_robustness,10.0,P0,1e-09,2.2,2.2,2.3,2.2,0.40762565239248216,1.58,1.58,1.6,1.58,0.1696569175730073,0.6197101964220103,1.8471159170411212e-08,0.2699926451879523,0.4119168670429153,3.427353492539879e-07,0.0828337704568701,0.0,0.09999999999999964,0.5501646852163528,1.9100138344249334e-07,0.30378367599487316,0.1631688169482287,2.9906360249000885e-08,0.04595228287367337,0.0,0.020000000000000018,band,1.58,0.1696569175730073,1,R3
M33_V0_alpha_peak_robustness,10.0,P0,3e-09,2.2,2.2,2.3,2.2,0.3903688725510126,1.58,1.58,1.6,1.58,0.1696569175730073,0.6210889380584137,1.2698864237361346e-08,0.2699926451879523,0.4132956086793187,3.4850764418703776e-07,0.008291661456198418,0.0,0.09999999999999964,0.5501646852163528,1.9100138344249334e-07,0.30378367599487316,0.1631688169482287,2.9906360249000885e-08,0.04595228287367337,0.0,0.020000000000000018,band,1.58,0.1696569175730073,1,R3
M33_V0_alpha_peak_robustness,10.0,P0,1e-08,2.2,2.2,2.2,2.2,0.4786327572668576,1.58,1.58,1.6,1.58,0.19398849957705688,0.6246075507405204,2.3899766539778702e-23,0.5213876706298953,0.41681422136142543,3.612065084243991e-07,0.24727269879569502,0.0,0.0,0.5670120315007054,1.8231827824267696e-07,0.30378367599487316,0.18932235885165843,2.8318592933765845e-08,0.03866444962722204,0.0,0.020000000000000018,band,1.58,0.19398849957705688,1,R3
M33_V0_alpha_peak_robustness,10.0,P1,1e-09,2.2,2.2,2.3,2.2,0.32563608285902756,1.58,1.58,1.56,1.58,0.06596627180267674,0.6221421572716852,1.7009213305707404e-08,0.24677414407731052,0.3344780080751039,2.8279212809716045e-07,0.0646311679671818,0.0,0.09999999999999964,0.5346694644501763,1.786501345772201e-07,0.2577917493362559,0.06899959238036124,1.503308120034791e-08,0.007866657556937218,0.0,0.020000000000000018,band,1.58,0.06596627180267674,1,R3
M33_V0_alpha_peak_robustness,10.0,P1,3e-09,2.2,2.2,2.3,2.2,0.3159042635217109,1.58,1.58,1.56,1.58,0.06596627180267674,0.6232425643939948,1.328577885134189e-08,0.24677414407731052,0.33557841519741355,2.8453902121270043e-07,0.021302255141104093,0.0,0.09999999999999964,0.5346694644501763,1.786501345772201e-07,0.2577917493362559,0.06899959238036124,1.503308120034791e-08,0.007866657556937218,0.0,0.020000000000000018,band,1.58,0.06596627180267674,1,R3
M33_V0_alpha_peak_robustness,10.0,P1,1e-08,2.2,2.2,2.2,2.2,0.3996525783359419,1.58,1.58,1.56,1.58,0.08279915130530657,0.6249153271398148,1.1154371569022735e-22,0.5211763242772707,0.3368156592924833,2.8822625518067785e-07,0.25134652326881374,0.0,0.0,0.5538485728161309,1.6736650107103868e-07,0.25749489559897776,0.08590667496386267,2.538652913879601e-08,0.007569803819659049,0.0,0.020000000000000018,band,1.58,0.08279915130530657,1,R3
M33_V0_alpha_peak_robustness,10.0,P2,1e-09,2.8,2.7,2.8,2.75,0.31773847993063425,1.78,1.78,1.8,1.78,0.11174807179405447,0.48806790261307365,1.2556814393655741e-07,0.23594911450538267,0.36011347067840604,4.1728891449358513e-08,0.08049987009334608,0.09999999999999964,0.04999999999999982,0.7021996636543106,1.1096685732459256e-07,0.18886996818115367,0.1094272673025326,6.838979656895369e-08,0.02928294440690113,0.0,0.020000000000000018,band,1.78,0.11174807179405447,1,R3
M33_V0_alpha_peak_robustness,10.0,P2,3e-09,2.8,2.7,2.8,2.75,0.31538120452297985,1.78,1.78,1.8,1.78,0.11333437822613987,0.48806790261307365,1.2468581629290024e-07,0.23594911450538267,0.3599747710622795,4.261121909301569e-08,0.07162556339792409,0.09999999999999964,0.04999999999999982,0.7037859679964149,1.088768761906022e-07,0.18886996818115367,0.11101357164463688,7.047977770294405e-08,0.02928294440690113,0.0,0.020000000000000018,band,1.78,0.11333437822613987,1,R3
M33_V0_alpha_peak_robustness,10.0,P2,1e-08,2.2,2.2,2.2,2.2,0.3617249713307952,1.78,1.78,1.8,1.78,0.1160063430579417,0.6540070749571718,5.593287099323793e-09,0.3738052916812163,0.31948711961175474,2.1626561336130676e-07,0.1689505418137082,0.0,0.0,0.7114274496740628,1.0162877806978502e-07,0.18886996818115367,0.11865505332228476,7.772787582376122e-08,0.009404848031124458,0.0,0.020000000000000018,band,1.78,0.1160063430579417,1,R3
M33_V0_alpha_peak_robustness,10.0,P3,1e-09,0.5,0.6,0.5,0.55,0.31773184717691016,1.58,1.56,1.58,1.57,0.17419842057309703,0.23002870969667585,1.1640460371642115e-07,0.44449175966846655,0.3451324724922664,1.8026239921475747e-08,0.14039742663361526,0.09999999999999998,0.050000000000000044,0.45922864210878384,1.1624989554467756e-07,0.21286686111659195,0.18614094761815136,2.6721555428436166e-08,0.0022297849335609077,0.020000000000000018,0.010000000000000009,band,1.57,0.17419842057309703,1,R3
M33_V0_alpha_peak_robustness,10.0,P3,3e-09,0.5,0.6,0.5,0.55,0.31900536767296905,1.58,1.56,1.58,1.57,0.1731960056779902,0.23002870969667585,1.1640460371642115e-07,0.44449175966846655,0.3464059929883253,1.8026239921475747e-08,0.14039742663361526,0.09999999999999998,0.050000000000000044,0.45981626754663607,1.0976567675615593e-07,0.22472501033917358,0.18498836444464628,3.266598563896774e-08,0.0028304342694332185,0.020000000000000018,0.010000000000000009,band,1.57,0.1731960056779902,1,R3
M33_V0_alpha_peak_robustness,10.0,P3,1e-08,0.5,0.6,0.5,0.55,0.3137532888134512,1.64,1.64,1.64,1.64,0.17389549660811066,0.22262151908268304,1.0406916257201584e-07,0.4390977231524462,0.3520200718880243,2.1137122693406666e-08,0.09693278315321685,0.09999999999999998,0.050000000000000044,0.9053989877980102,1.1105836734353499e-07,0.28169711667415376,0.15039352576822562,2.546709692600141e-08,0.09400778149115238,0.0,0.0,band,1.64,0.17389549660811066,1,R3
M33_V0_alpha_peak_robustness,20.0,P0,1e-09,2.2,2.1,2.2,2.1500000000000004,0.9143597916122268,1.42,1.42,1.4,1.42,0.3875951735194283,0.8158508965865395,2.0408740691222755e-07,0.3840349469129563,0.9368718194672984,1.729577203435394e-07,0.15995119674883226,0.10000000000000009,0.04999999999999982,0.5113165590666646,2.524773054788627e-07,0.31858545729296833,0.3868518827311664,7.693478863018795e-08,0.02297285541389299,0.0,0.020000000000000018,band,1.42,0.3875951735194283,1,R3
M33_V0_alpha_peak_robustness,20.0,P0,3e-09,2.2,2.1,2.2,2.1500000000000004,0.9144753559627585,1.42,1.42,1.4,1.42,0.3875951735194283,0.8158508965865395,2.005273759326336e-07,0.3840349469129563,0.9369873802577992,1.7651775132313334e-07,0.15995119674883226,0.10000000000000009,0.04999999999999982,0.5113165590666646,2.524773054788627e-07,0.31858545729296833,0.3868518827311664,7.693478863018795e-08,0.02297285541389299,0.0,0.020000000000000018,band,1.42,0.3875951735194283,1,R3
M33_V0_alpha_peak_robustness,20.0,P0,1e-08,2.2,2.1,2.2,2.1500000000000004,0.9103024569882523,1.42,1.42,1.4,1.42,0.41054883287534816,0.8158508965865395,2.005273759326336e-07,0.3840349469129563,0.9369873802577992,1.7651775132313334e-07,0.14325960085080733,0.10000000000000009,0.04999999999999982,0.535228923691669,2.403946533296575e-07,0.31858545729296833,0.41076424735617073,8.901744077939315e-08,0.01913798600694666,0.0,0.020000000000000018,band,1.42,0.41054883287534816,1,R3
