run_id,t,p_family,theta,source_feature,class_mode,class_label,n_pairs_in_class,sum_pair_weight,sum_contrib_primary,mean_contrib_primary,max_contrib_primary,class_rank,cumulative_class_contrib,case_label,normalized_class_contrib,is_top1_class,is_top3_class,is_top5_class,branch_basis,branch_label
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,delta_p2,dp2=1,1,4.145590012638098e-73,1.1831088744067663e-81,1.1831088744067663e-81,1.1831088744067663e-81,6,1.0,t=2.0__pf=P1__th=1e-09,7.296282908390233e-75,0,0,0,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,delta_p2,dp2=4,1,3.091114785881044e-97,5.039621849307381e-104,5.039621849307381e-104,5.039621849307381e-104,7,1.0,t=2.0__pf=P1__th=1e-09,3.1079562971149946e-97,0,0,0,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,delta_p2,dp2=-7,1,3.09111478588108e-97,3.876865576521248e-106,3.876865576521248e-106,3.876865576521248e-106,8,1.0,t=2.0__pf=P1__th=1e-09,2.390879542534235e-99,0,0,0,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,delta_p2,dp2=9,1,3.444686256337123e-126,1.4763223150055353e-134,1.4763223150055353e-134,1.4763223150055353e-134,9,1.0,t=2.0__pf=P1__th=1e-09,9.104542707154581e-128,0,0,0,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,delta_p2,dp2=8,2,1.0318876208039836e-111,2.796221719347356e-152,1.398110859673678e-152,2.796221719347356e-152,10,1.0,t=2.0__pf=P1__th=1e-09,1.7244418650120967e-145,0,0,0,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,delta_p2,dp2=5,2,4.619775689395003e-102,1.8279431492725795e-177,9.139715746362895e-178,1.8279431492725795e-177,11,1.0,t=2.0__pf=P1__th=1e-09,1.1273003394750178e-170,0,0,0,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,delta_p2,dp2=-16,1,7.456392879583304e-25,0.0,0.0,0.0,12,1.0,t=2.0__pf=P1__th=1e-09,0.0,0,0,0,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,delta_p2,dp2=-3,2,3.338237794619358e-15,0.0,0.0,0.0,13,1.0,t=2.0__pf=P1__th=1e-09,0.0,0,0,0,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,2.0,P1,1e-09,neg,delta_p2,dp2=3,2,9.259720173838204e-83,0.0,0.0,0.0,14,1.0,t=2.0__pf=P1__th=1e-09,0.0,0,0,0,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,neg,delta_p,dp=-1,6,0.9980707112798056,3.0046844394387894e-07,5.00780739906465e-08,1.5383588527100637e-07,1,0.999050307889794,t=5.0__pf=P0__th=1e-09,0.9990503078897941,1,1,1,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,neg,delta_p,dp=-2,5,0.001929288497262,2.856237565075546e-10,5.712475130151092e-11,2.856160094021681e-10,2,0.9999999999710456,t=5.0__pf=P0__th=1e-09,0.0009496920812516661,0,1,1,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,neg,delta_p,dp=-3,4,2.2293221160192534e-10,8.708137636916474e-18,2.1770344092291184e-18,5.471207483347785e-18,3,1.0,t=5.0__pf=P0__th=1e-09,2.895434699602949e-11,0,1,1,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,neg,delta_p,dp=-4,3,6.440327528286652e-18,0.0,0.0,0.0,4,1.0,t=5.0__pf=P0__th=1e-09,0.0,0,0,1,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,neg,delta_p,dp=-5,2,5.561165954919732e-30,0.0,0.0,0.0,5,1.0,t=5.0__pf=P0__th=1e-09,0.0,0,0,1,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,neg,delta_p,dp=-6,1,7.176885267518304e-47,0.0,0.0,0.0,6,1.0,t=5.0__pf=P0__th=1e-09,0.0,0,0,0,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,neg,delta_p2,dp2=1,1,0.4990353555284367,1.5383588527100637e-07,1.5383588527100637e-07,1.5383588527100637e-07,1,0.5115005972913547,t=5.0__pf=P0__th=1e-09,0.5115005972913546,1,1,1,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,neg,delta_p2,dp2=3,2,0.4990353556399028,1.4663255861437274e-07,7.331627930718637e-08,1.4663255860890154e-07,2,0.9990503076952836,t=5.0__pf=P0__th=1e-09,0.487549710403929,0,1,1,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,neg,delta_p2,dp2=4,1,0.0019292308312463,2.856160094021681e-10,2.856160094021681e-10,2.856160094021681e-10,3,0.9999999740175972,t=5.0__pf=P0__th=1e-09,0.0009496663223136557,0,1,1,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,neg,delta_p2,dp2=0,3,2.883300786542241e-08,4.703998114271865e-15,1.567999371423955e-15,4.703998114271865e-15,4,0.9999999896582772,t=5.0__pf=P0__th=1e-09,1.5640679941931238e-08,0,0,1,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,neg,delta_p2,dp2=8,2,2.8833007871862543e-08,3.043107272177908e-15,1.521553636088954e-15,3.043107272177908e-15,5,0.9999999997765352,t=5.0__pf=P0__th=1e-09,1.0118258068321004e-08,0,0,1,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,neg,delta_p2,dp2=-1,1,1.1146610578851398e-10,3.4361266933232626e-17,3.4361266933232626e-17,3.4361266933232626e-17,6,0.9999999998907856,t=5.0__pf=P0__th=1e-09,1.142503813663085e-10,0,0,0,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,neg,delta_p2,dp2=5,2,1.1146610578851398e-10,2.960973292125736e-17,1.480486646062868e-17,2.960973292125736e-17,7,0.9999999999892372,t=5.0__pf=P0__th=1e-09,9.845164571438971e-11,0,0,0,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,neg,delta_p2,dp2=9,1,1.1146610578851398e-10,3.236930152346624e-18,3.236930152346624e-18,3.236930152346624e-18,8,1.0,t=5.0__pf=P0__th=1e-09,1.0762714456376215e-11,0,0,0,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,neg,delta_p2,dp2=-3,2,2.4897419801598374e-20,1.2220661046863691e-27,6.110330523431846e-28,1.2220661030523206e-27,9,1.0,t=5.0__pf=P0__th=1e-09,4.063340236742589e-21,0,0,0,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,neg,delta_p2,dp2=-4,1,9.625143661040922e-23,1.4249695152576818e-29,1.4249695152576818e-29,1.4249695152576818e-29,10,1.0,t=5.0__pf=P0__th=1e-09,4.737989168731671e-23,0,0,0,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,neg,delta_p2,dp2=-9,1,1.2421595096077008e-39,3.6071804472509405e-47,3.6071804472509405e-47,3.6071804472509405e-47,11,1.0,t=5.0__pf=P0__th=1e-09,1.1993787730711585e-40,0,0,0,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,neg,delta_p2,dp2=-8,2,3.213101836228169e-37,7.574662987831645e-54,3.7873314939158225e-54,7.574662987831645e-54,12,1.0,t=5.0__pf=P0__th=1e-09,2.5185571206166573e-47,0,0,0,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,5.0,P0,1e-09,neg,delta_p2,dp2=-5,2,1.2421595096077008e-39,1.6462358550251994e-65,8.231179275125997e-66,1.6462358550251994e-65,13,1.0,t=5.0__pf=P0__th=1e-09,5.473694396105481e-59,0,0,0,nearest_branch_readout,S1
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-1.1,2,0.9591653418366898,1.1008041882456901e-07,5.5040209412284505e-08,7.381004839481205e-08,1,0.9881046849509532,t=40.0__pf=P3__th=1e-09,0.9881046849509532,1,1,1,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-2.2,1,0.0388258930490625,1.323607714932935e-09,1.323607714932935e-09,1.323607714932935e-09,2,0.9999856624956224,t=40.0__pf=P3__th=1e-09,0.011880977544668962,0,1,1,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-3,1,0.0002320244257802,1.030718068798585e-12,1.030718068798585e-12,1.030718068798585e-12,3,0.9999949144349182,t=40.0__pf=P3__th=1e-09,9.251939296002838e-06,0,1,1,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-0.8,1,9.62397669063791e-05,5.65808451678379e-13,5.65808451678379e-13,5.65808451678379e-13,4,0.9999999932490058,t=40.0__pf=P3__th=1e-09,5.078814087537518e-06,0,0,1,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-3.1,1,6.3891288484019994e-09,6.181629798284411e-16,6.181629798284411e-16,6.181629798284411e-16,5,0.9999999987977648,t=40.0__pf=P3__th=1e-09,5.548759197629404e-09,0,0,1,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-4.2,1,8.82142147179887e-10,7.487553154356814e-17,7.487553154356814e-17,7.487553154356814e-17,6,0.9999999994698632,t=40.0__pf=P3__th=1e-09,6.720983104570072e-10,0,0,0,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-2,1,3.6589748832431564e-10,5.904873921082345e-17,5.904873921082345e-17,5.904873921082345e-17,7,0.999999999999897,t=40.0__pf=P3__th=1e-09,5.300337378589197e-10,0,0,0,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-1.2,1,2.1866117674512797e-12,1.148099008544956e-20,1.148099008544956e-20,1.148099008544956e-20,8,1.0,t=40.0__pf=P3__th=1e-09,1.0305574971864275e-13,0,0,0,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-4.6,1,3.2558352845664134e-19,2.569022708992277e-26,2.569022708992277e-26,2.569022708992277e-26,9,1.0,t=40.0__pf=P3__th=1e-09,2.306008099902046e-19,0,0,0,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-5.7,1,4.495306945499785e-20,2.305076167051176e-27,2.305076167051176e-27,2.305076167051176e-27,10,1.0,t=40.0__pf=P3__th=1e-09,2.069084206031109e-20,0,0,0,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-3.5,1,1.8645765037568366e-20,1.8213301790844225e-27,1.8213301790844225e-27,1.8213301790844225e-27,11,1.0,t=40.0__pf=P3__th=1e-09,1.6348637677913763e-20,0,0,0,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-2.7,1,1.1142751875940987e-22,6.404893797816717e-30,6.404893797816717e-30,6.404893797816717e-30,12,1.0,t=40.0__pf=P3__th=1e-09,5.749165597127515e-23,0,0,0,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-1.5,1,4.236403573580995e-28,6.32829618827925e-36,6.32829618827925e-36,6.32829618827925e-36,13,1.0,t=40.0__pf=P3__th=1e-09,5.680409993135278e-29,0,0,0,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-3.2,1,1.724739773969599e-44,0.0,0.0,0.0,14,1.0,t=40.0__pf=P3__th=1e-09,0.0,0,0,0,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-1.9,1,0.0016804932822059,0.0,0.0,0.0,15,1.0,t=40.0__pf=P3__th=1e-09,0.0,0,0,0,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-1.7,1,8.789099024336973e-55,0.0,0.0,0.0,16,1.0,t=40.0__pf=P3__th=1e-09,0.0,0,0,0,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-4.4,1,4.5364769947223606e-39,0.0,0.0,0.0,17,1.0,t=40.0__pf=P3__th=1e-09,0.0,0,0,0,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-5.2,1,7.59113054689502e-37,0.0,0.0,0.0,18,1.0,t=40.0__pf=P3__th=1e-09,0.0,0,0,0,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-6.3,1,1.3255273052370253e-35,0.0,0.0,0.0,19,1.0,t=40.0__pf=P3__th=1e-09,0.0,0,0,0,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-7.4,1,1.830145440688392e-36,0.0,0.0,0.0,20,1.0,t=40.0__pf=P3__th=1e-09,0.0,0,0,0,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=5.39,1,0.6779593773129801,7.381004839481205e-08,7.381004839481205e-08,7.381004839481205e-08,1,0.6625343125883215,t=40.0__pf=P3__th=1e-09,0.6625343125883215,1,1,1,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=2.97,1,0.2812059645237097,3.6270370429756974e-08,3.6270370429756974e-08,3.6270370429756974e-08,2,0.9881046849509532,t=40.0__pf=P3__th=1e-09,0.32557037236263164,0,1,1,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=8.36,1,0.0388258930490625,1.323607714932935e-09,1.323607714932935e-09,1.323607714932935e-09,3,0.9999856624956224,t=40.0__pf=P3__th=1e-09,0.01188097754466896,0,1,1,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=9,1,0.0002320244257802,1.030718068798585e-12,1.030718068798585e-12,1.030718068798585e-12,4,0.9999949144349182,t=40.0__pf=P3__th=1e-09,9.251939296002838e-06,0,0,1,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=0.64,1,9.62397669063791e-05,5.65808451678379e-13,5.65808451678379e-13,5.65808451678379e-13,5,0.9999999932490058,t=40.0__pf=P3__th=1e-09,5.078814087537517e-06,0,0,1,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=2.17,1,6.3891288484019994e-09,6.181629798284411e-16,6.181629798284411e-16,6.181629798284411e-16,6,0.9999999987977648,t=40.0__pf=P3__th=1e-09,5.548759197629403e-09,0,0,0,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=7.56,1,8.82142147179887e-10,7.487553154356814e-17,7.487553154356814e-17,7.487553154356814e-17,7,0.9999999994698632,t=40.0__pf=P3__th=1e-09,6.720983104570071e-10,0,0,0,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=-0.8,1,3.6589748832431564e-10,5.904873921082345e-17,5.904873921082345e-17,5.904873921082345e-17,8,0.999999999999897,t=40.0__pf=P3__th=1e-09,5.300337378589197e-10,0,0,0,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=-1.44,1,2.1866117674512797e-12,1.148099008544956e-20,1.148099008544956e-20,1.148099008544956e-20,9,1.0,t=40.0__pf=P3__th=1e-09,1.0305574971864274e-13,0,0,0,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=-3.68,1,3.2558352845664134e-19,2.569022708992277e-26,2.569022708992277e-26,2.569022708992277e-26,10,1.0,t=40.0__pf=P3__th=1e-09,2.306008099902046e-19,0,0,0,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=1.71,1,4.495306945499785e-20,2.305076167051176e-27,2.305076167051176e-27,2.305076167051176e-27,11,1.0,t=40.0__pf=P3__th=1e-09,2.069084206031109e-20,0,0,0,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=-6.65,1,1.8645765037568366e-20,1.8213301790844225e-27,1.8213301790844225e-27,1.8213301790844225e-27,12,1.0,t=40.0__pf=P3__th=1e-09,1.6348637677913763e-20,0,0,0,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=-7.29,1,1.1142751875940987e-22,6.404893797816717e-30,6.404893797816717e-30,6.404893797816717e-30,13,1.0,t=40.0__pf=P3__th=1e-09,5.749165597127513e-23,0,0,0,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=-5.85,1,4.236403573580995e-28,6.32829618827925e-36,6.32829618827925e-36,6.32829618827925e-36,14,1.0,t=40.0__pf=P3__th=1e-09,5.680409993135277e-29,0,0,0,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=-15.75,1,1.3255273052370253e-35,0.0,0.0,0.0,15,1.0,t=40.0__pf=P3__th=1e-09,0.0,0,0,0,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=-10.36,1,1.830145440688392e-36,0.0,0.0,0.0,16,1.0,t=40.0__pf=P3__th=1e-09,0.0,0,0,0,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=-12.07,1,8.789099024336973e-55,0.0,0.0,0.0,17,1.0,t=40.0__pf=P3__th=1e-09,0.0,0,0,0,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=-18.72,1,7.59113054689502e-37,0.0,0.0,0.0,18,1.0,t=40.0__pf=P3__th=1e-09,0.0,0,0,0,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=-17.92,1,1.724739773969599e-44,0.0,0.0,0.0,19,1.0,t=40.0__pf=P3__th=1e-09,0.0,0,0,0,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=-19.36,1,4.5364769947223606e-39,0.0,0.0,0.0,20,1.0,t=40.0__pf=P3__th=1e-09,0.0,0,0,0,nearest_branch_readout,S2
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=3.61,1,0.0016804932822059,0.0,0.0,0.0,21,1.0,t=40.0__pf=P3__th=1e-09,0.0,0,0,0,nearest_branch_readout,S2
