run_id,t,p_family,theta,packet_model,source_feature,p0,sigma_p,alpha_pref_source_model,branch_pref_source_model,source_score_model,alpha_pref_readout,branch_pref_readout,readout_score,delta_alpha,branch_match_flag,alpha_match_flag,loss_total
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-2.0,1.3,1.74,S3,4.727740147319885e-10,1.58,S2,0.0022301602906277,0.15999999999999992,0,0,1.158884919618299
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-2.0,1.7,1.74,S3,4.0214430573086336e-10,1.58,S2,0.0022301602906277,0.15999999999999992,0,0,1.158884919653614
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-2.0,2.2,1.72,S3,3.610563559473753e-10,1.58,S2,0.0022301602906277,0.1399999999999999,0,0,1.1388849196741577
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-2.0,3.0,1.72,S3,3.096641411176275e-10,1.58,S2,0.0022301602906277,0.1399999999999999,0,0,1.1388849196998538
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-1.5,0.3,1.7,,3.677149872888645e-14,1.58,S2,0.0022301602906277,0.11999999999999988,0,1,0.11888491985466765
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-1.5,0.5,1.7,,4.2216399725304046e-11,1.58,S2,0.0022301602906277,0.11999999999999988,0,1,0.11888491983357784
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-1.5,0.8,1.72,S3,2.6747275623833743e-10,1.58,S2,0.0022301602906277,0.1399999999999999,0,0,1.1388849197209496
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-1.5,1.0,1.72,S3,3.426071567738563e-10,1.58,S2,0.0022301602906277,0.1399999999999999,0,0,1.1388849196833823
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-1.5,1.3,1.72,S3,3.638006590631195e-10,1.58,S2,0.0022301602906277,0.1399999999999999,0,0,1.1388849196727857
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-1.5,1.7,1.72,S3,3.3874478165806927e-10,1.58,S2,0.0022301602906277,0.1399999999999999,0,0,1.1388849196853137
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-1.5,2.2,1.72,S3,3.077455200700438e-10,1.58,S2,0.0022301602906277,0.1399999999999999,0,0,1.1388849197008133
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-1.5,3.0,1.72,S3,2.883484033879209e-10,1.58,S2,0.0022301602906277,0.1399999999999999,0,0,1.1388849197105118
