run_id,t,p_family,theta,packet_model,source_feature,p0,sigma_p,alpha_candidate,candidate_value,candidate_prominence,source_branch_id,source_branch_center,delta_to_branch_center
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-1.0,1.3,1.72,6.530933693232692e-08,2.404643674142752e-10,S3,1.77,0.050000000000000044
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-1.0,1.7,1.72,6.405402175757671e-08,2.591501994671178e-10,S3,1.77,0.050000000000000044
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-1.0,2.2,1.72,6.074624373164295e-08,2.6540341974455863e-10,S3,1.77,0.050000000000000044
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-1.0,3.0,1.72,5.783313273589534e-08,2.7247622495947385e-10,S3,1.77,0.050000000000000044
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-0.5,0.3,1.9,1.0024638858800379e-07,0.0,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-0.5,0.5,1.9,9.856644491793821e-08,0.0,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-0.5,0.8,1.9,8.570001767717742e-08,0.0,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-0.5,1.0,1.9,7.650208391530674e-08,0.0,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-0.5,1.3,1.86,6.663446641505609e-08,9.527360822188054e-11,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-0.5,1.7,1.72,6.091573901777609e-08,2.0494190326311554e-10,S3,1.77,0.050000000000000044
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-0.5,2.2,1.72,5.843815160403906e-08,2.380577225349596e-10,S3,1.77,0.050000000000000044
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,-0.5,3.0,1.72,5.682383453097054e-08,2.6268093007686904e-10,S3,1.77,0.050000000000000044
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.0,0.3,1.9,1.0036917453025286e-07,0.0,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.0,0.5,1.52,1.0696716477225754e-08,1.2139984722353267e-12,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.0,0.8,1.4,4.0401108817194525e-08,3.753946437061177e-11,S1,1.42,0.020000000000000018
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.0,1.0,1.34,5.541359172354874e-08,6.912465117163154e-11,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.0,1.3,1.9,6.879040454666101e-08,0.0,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.0,1.7,1.72,5.99547525579233e-08,1.856430411143716e-10,S3,1.77,0.050000000000000044
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.0,2.2,1.72,5.7664792307460036e-08,2.2859210349568407e-10,S3,1.77,0.050000000000000044
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.0,3.0,1.72,5.648500134415095e-08,2.5936909559260243e-10,S3,1.77,0.050000000000000044
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.5,0.3,1.9,1.0024638866432604e-07,0.0,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.5,0.5,1.9,9.856644498784816e-08,0.0,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.5,0.8,1.9,8.570001770924071e-08,0.0,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.5,1.0,1.9,7.65020839329119e-08,0.0,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.5,1.3,1.86,6.663446642344433e-08,9.527360921489432e-11,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.5,1.7,1.72,6.091573902118009e-08,2.0494190353994973e-10,S3,1.77,0.050000000000000044
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.5,2.2,1.72,5.843815160598351e-08,2.3805772224414274e-10,S3,1.77,0.050000000000000044
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,0.5,3.0,1.72,5.6823834532002045e-08,2.6268092973384055e-10,S3,1.77,0.050000000000000044
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.0,0.3,1.3,1.1248134373736025e-07,0.0,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.0,0.5,1.3,1.1013248849190039e-07,0.0,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.0,0.8,1.3,9.798174572900696e-08,0.0,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.0,1.0,1.72,6.015015955175689e-08,1.9101004557434442e-10,S3,1.77,0.050000000000000044
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.0,1.3,1.72,6.530933694247049e-08,2.404643696364397e-10,S3,1.77,0.050000000000000044
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.0,1.7,1.72,6.405402176375356e-08,2.5915019948911417e-10,S3,1.77,0.050000000000000044
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.0,2.2,1.72,6.074624373540056e-08,2.6540341905242684e-10,S3,1.77,0.050000000000000044
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.0,3.0,1.72,5.783313273793896e-08,2.724762242584482e-10,S3,1.77,0.050000000000000044
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.5,0.3,1.7,6.754160197369905e-12,3.6771498404830365e-14,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.5,0.5,1.7,7.726004571085125e-09,4.221639935713919e-11,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.5,0.8,1.72,5.169291856953057e-08,2.6747275701086457e-10,S3,1.77,0.050000000000000044
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.5,1.0,1.72,6.619731407366145e-08,3.4260715731779705e-10,S3,1.77,0.050000000000000044
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.5,1.3,1.72,7.220242116594232e-08,3.638006588451541e-10,S3,1.77,0.050000000000000044
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.5,1.7,1.72,6.987299563570225e-08,3.3874478066063504e-10,S3,1.77,0.050000000000000044
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.5,2.2,1.72,6.454425411887731e-08,3.0774551878860205e-10,S3,1.77,0.050000000000000044
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,1.5,3.0,1.72,5.949162216962386e-08,2.883484023006416e-10,S3,1.77,0.050000000000000044
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.0,0.3,1.88,1.546967903947908e-07,7.728396143515686e-10,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.0,0.5,1.88,1.4503816496241354e-07,7.244361381263977e-10,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.0,0.8,1.88,1.2105286433530808e-07,5.969028187326274e-10,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.0,1.0,1.86,1.0816657530920706e-07,5.238689220046634e-10,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.0,1.3,1.74,8.751176226764119e-08,4.727740147793033e-10,S3,1.77,0.030000000000000027
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.0,1.7,1.74,7.86427255215836e-08,4.021443054680714e-10,S3,1.77,0.030000000000000027
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.0,2.2,1.72,6.973521900541206e-08,3.61056353862589e-10,S3,1.77,0.050000000000000044
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.0,3.0,1.72,6.176492852783382e-08,3.0966413960585896e-10,S3,1.77,0.050000000000000044
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.5,0.3,1.88,3.099823665362587e-07,1.548620710656865e-09,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.5,0.5,1.88,2.9903436389722097e-07,1.493926881663462e-09,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.5,0.8,1.88,2.158960950411144e-07,1.0786584745883345e-09,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.5,1.0,1.88,1.6965016688599771e-07,8.457634864916994e-10,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.5,1.3,1.86,1.2768746628369354e-07,6.302901644748653e-10,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.5,1.7,1.74,9.077704755124783e-08,4.972495779206647e-10,S3,1.77,0.030000000000000027
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.5,2.2,1.74,7.630433757415822e-08,3.936612459330098e-10,S3,1.77,0.030000000000000027
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,2.5,3.0,1.72,6.460713226769111e-08,3.3562169166253957e-10,S3,1.77,0.050000000000000044
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,3.0,0.3,1.88,3.0999161413929305e-07,1.548666910154308e-09,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,3.0,0.5,1.88,3.091216607231689e-07,1.5443207878586431e-09,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,3.0,0.8,1.88,2.7133190148318327e-07,1.3557653663838336e-09,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,3.0,1.0,1.88,2.2365244281384833e-07,1.1184562615648696e-09,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,3.0,1.3,1.88,1.6473279442416707e-07,8.220397411769253e-10,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,3.0,1.7,1.86,1.1935249412522738e-07,5.863090218413123e-10,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,3.0,2.2,1.74,8.421289962312276e-08,4.551922571700502e-10,S3,1.77,0.030000000000000027
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,3.0,3.0,1.72,6.796280697745394e-08,3.6531853927475476e-10,S3,1.77,0.050000000000000044
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,3.5,0.3,1.88,3.0999163204982796e-07,1.5486669996324333e-09,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,3.5,0.5,1.88,3.098857724085994e-07,1.5481381427617712e-09,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,3.5,0.8,1.88,2.942216279334393e-07,1.4699514085631196e-09,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,3.5,1.0,1.88,2.596828905781718e-07,1.2981656994713432e-09,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,3.5,1.3,1.88,1.992065996685351e-07,9.977148469205449e-10,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,3.5,1.7,1.86,1.4129986889342041e-07,7.071936997387812e-10,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,3.5,2.2,1.86,1.0297506305808563e-07,4.947942430542903e-10,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,3.5,3.0,1.74,7.191705199616034e-08,3.727758499046045e-10,S3,1.77,0.030000000000000027
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,4.0,0.3,1.88,3.09991632118802e-07,1.548666999976964e-09,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,4.0,0.5,1.88,3.099775242668257e-07,1.5485965194860475e-09,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,4.0,0.8,1.88,3.032791921312009e-07,1.5151487772119204e-09,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,4.0,1.0,1.88,2.809858460135713e-07,1.4041522407900522e-09,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,4.0,1.3,1.88,2.2769662020373853e-07,1.1402239402045702e-09,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,4.0,1.7,1.88,1.6365963737527771e-07,8.189595633430173e-10,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,4.0,2.2,1.86,1.1604794040800074e-07,5.714018714211014e-10,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,neg,4.0,3.0,1.74,7.635227044439404e-08,4.0642404132649923e-10,S3,1.77,0.030000000000000027
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,-4.0,0.3,1.88,3.099916320970117e-07,1.5486669696207325e-09,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,-4.0,0.5,1.88,3.0998336689186996e-07,1.548670809210812e-09,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,-4.0,0.8,1.88,3.062685152949825e-07,1.5481881804793238e-09,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,-4.0,1.0,1.9,2.9515100659168114e-07,0.0,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,-4.0,1.3,1.9,2.683559736870299e-07,0.0,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,-4.0,1.7,1.9,2.2654892797896373e-07,0.0,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,-4.0,2.2,1.9,1.820719130008854e-07,0.0,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,-4.0,3.0,1.9,1.4023279688840927e-07,0.0,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,-3.5,0.3,1.88,3.099916320565371e-07,1.5486669696402142e-09,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,-3.5,0.5,1.88,3.099302490305777e-07,1.5486894764015246e-09,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,-3.5,0.8,1.88,3.017315806375918e-07,1.5420745345650393e-09,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,-3.5,1.0,1.9,2.8588648414949716e-07,0.0,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,-3.5,1.3,1.9,2.539136873629807e-07,0.0,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,-3.5,1.7,1.9,2.1052248076332667e-07,0.0,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,-3.5,2.2,1.9,1.690070318291273e-07,0.0,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,-3.5,3.0,1.9,1.3316840343034245e-07,0.0,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,-3.0,0.3,1.88,3.0999162157316696e-07,1.5486669744190153e-09,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,-3.0,0.5,1.88,3.0952126150487733e-07,1.548513919827875e-09,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,-3.0,0.8,1.9,2.9254511303587477e-07,0.0,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,-3.0,1.0,1.9,2.7093183460915315e-07,0.0,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,-3.0,1.3,1.9,2.3500669292464094e-07,0.0,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,-3.0,1.7,1.9,1.9244686918374448e-07,0.0,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,-3.0,2.2,1.9,1.5576179144155025e-07,0.0,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,-3.0,3.0,1.9,1.266002124470758e-07,0.0,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,-2.5,0.3,1.88,3.0998798896001904e-07,1.5486518026379263e-09,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,-2.5,0.5,1.88,3.056813544055056e-07,1.530720429104038e-09,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,-2.5,0.8,1.9,2.7366247946455773e-07,0.0,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,-2.5,1.0,1.9,2.481749954037792e-07,0.0,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,-2.5,1.3,1.9,2.1127764239800495e-07,0.0,,,
M33_V0_alpha_peak_robustness,2.0,P0,1e-09,gaussian,abs,-2.5,1.7,1.9,1.7290813919158732e-07,0.0,,,
