family_id,family_role,family_type,source_model,left_mode_label,right_mode_label,left_index_tuple,right_index_tuple,left_p,right_p,left_p2,right_p2,delta_p,delta_p_abs,delta_p2,delta_p2_abs,sum_p,mean_p,delta_p2_bucket,identity_strength,branch_match_frac,is_direct_momentum
ER2_CAVITY,external_main_test,rectangular_cavity,rectangular_em_cavity_resonator,"m=1,n=2,p=0","m=1,n=2,p=1","(1, 2, 0)","(1, 2, 1)",3.1193327309523315,3.2757039985918337,9.730236686390532,10.73023668639053,-0.15637126763950215,0.15637126763950215,-0.9999999999999982,0.9999999999999982,6.395036729544165,3.1975183647720824,compact_negative,0.4999999999999991,0.5999999999999995,0
ER2_CAVITY,external_main_test,rectangular_cavity,rectangular_em_cavity_resonator,"m=1,n=2,p=1","m=0,n=2,p=2","(1, 2, 1)","(0, 2, 2)",3.2757039985918337,3.292451470620415,10.73023668639053,10.840236686390533,-0.01674747202858118,0.01674747202858118,-0.11000000000000298,0.11000000000000298,6.568155469212249,3.2840777346061243,compact_negative,0.05500000000000149,0.3775000000000007,0
ER2_CAVITY,external_main_test,rectangular_cavity,rectangular_em_cavity_resonator,"m=0,n=2,p=2","m=2,n=0,p=0","(0, 2, 2)","(2, 0, 0)",3.292451470620415,3.4,10.840236686390533,11.559999999999999,-0.10754852937958503,0.10754852937958503,-0.7197633136094659,0.7197633136094659,6.692451470620415,3.3462257353102074,compact_negative,0.35988165680473294,0.5299408284023664,0
ER2_CAVITY,external_main_test,rectangular_cavity,rectangular_em_cavity_resonator,"m=2,n=0,p=0","m=2,n=0,p=1","(2, 0, 0)","(2, 0, 1)",3.4,3.54400902933387,11.559999999999999,12.56,-0.14400902933387005,0.14400902933387005,-1.0000000000000018,1.0000000000000018,6.94400902933387,3.472004514666935,strong_negative,0.5000000000000009,0.6000000000000004,0
ER2_CAVITY,external_main_test,rectangular_cavity,rectangular_em_cavity_resonator,"m=2,n=0,p=1","m=2,n=1,p=0","(2, 0, 1)","(2, 1, 0)",3.54400902933387,3.6428092417250775,12.56,13.270059171597632,-0.09880021239120751,0.09880021239120751,-0.7100591715976314,0.7100591715976314,7.186818271058947,3.5934091355294737,compact_negative,0.3550295857988157,0.5275147928994078,0
ER2_CAVITY,external_main_test,rectangular_cavity,rectangular_em_cavity_resonator,"m=2,n=1,p=0","m=1,n=2,p=2","(2, 1, 0)","(1, 2, 2)",3.6428092417250775,3.7054334006146337,13.270059171597632,13.730236686390532,-0.06262415888955619,0.06262415888955619,-0.4601775147928997,0.4601775147928997,7.348242642339711,3.6741213211698556,compact_negative,0.23008875739644985,0.4650443786982249,0
ER2_CAVITY,external_main_test,rectangular_cavity,rectangular_em_cavity_resonator,"m=1,n=2,p=2","m=2,n=1,p=1","(1, 2, 2)","(2, 1, 1)",3.7054334006146337,3.777573185472074,13.730236686390532,14.270059171597632,-0.07213978485744033,0.07213978485744033,-0.5398224852071003,0.5398224852071003,7.483006586086708,3.741503293043354,compact_negative,0.26991124260355015,0.48495562130177505,0
ER2_CAVITY,external_main_test,rectangular_cavity,rectangular_em_cavity_resonator,"m=2,n=1,p=1","m=2,n=0,p=2","(2, 1, 1)","(2, 0, 2)",3.777573185472074,3.944616584663204,14.270059171597632,15.559999999999999,-0.16704339919112998,0.16704339919112998,-1.2899408284023668,1.2899408284023668,7.722189770135278,3.861094885067639,strong_negative,0.6449704142011834,0.6724852071005917,0
ER2_CAVITY,external_main_test,rectangular_cavity,rectangular_em_cavity_resonator,"m=2,n=0,p=2","m=2,n=1,p=2","(2, 0, 2)","(2, 1, 2)",3.944616584663204,4.155726070327258,15.559999999999999,17.270059171597634,-0.2111094856640543,0.2111094856640543,-1.710059171597635,1.710059171597635,8.100342654990463,4.050171327495232,strong_negative,0.8550295857988175,0.7775147928994087,0
ER2_CAVITY,external_main_test,rectangular_cavity,rectangular_em_cavity_resonator,"m=2,n=1,p=2","m=2,n=2,p=0","(2, 1, 2)","(2, 2, 0)",4.155726070327258,4.289549706716374,17.270059171597634,18.40023668639053,-0.1338236363891161,0.1338236363891161,-1.1301775147928979,1.1301775147928979,8.445275777043634,4.222637888521817,strong_negative,0.5650887573964489,0.6325443786982244,0
ER2_CAVITY,external_main_test,rectangular_cavity,rectangular_em_cavity_resonator,"m=2,n=2,p=0","m=2,n=2,p=1","(2, 2, 0)","(2, 2, 1)",4.289549706716374,4.404569977465511,18.40023668639053,19.40023668639053,-0.11502027074913634,0.11502027074913634,-1.0,1.0,8.694119684181885,4.3470598420909425,compact_negative,0.5,0.6,0
ER2_CAVITY,external_main_test,rectangular_cavity,rectangular_em_cavity_resonator,"m=2,n=2,p=1","m=2,n=2,p=2","(2, 2, 1)","(2, 2, 2)",4.404569977465511,4.732888830977391,19.40023668639053,22.40023668639053,-0.32831885351188017,0.32831885351188017,-3.0,3.0,9.1374588084429,4.56872940422145,strong_negative,1.0,0.85,0
ER3_MEMBRANE,external_hard_bias_test,circular_membrane,circular_membrane_bessel_modes,"m=0,n=1","m=0,n=2","(0, 1)","(0, 2)",1.0,2.295417267429351,1.0,5.26894043161283,-1.2954172674293511,1.2954172674293511,-4.26894043161283,4.26894043161283,3.295417267429351,1.6477086337146756,strong_negative,1.0,0.85,0
ER3_MEMBRANE,external_hard_bias_test,circular_membrane,circular_membrane_bessel_modes,"m=0,n=2","m=0,n=3","(0, 2)","(0, 3)",2.295417267429351,3.598484673947209,5.26894043161283,12.949091948632951,-1.303067406517858,1.303067406517858,-7.680151517020121,7.680151517020121,5.89390194137656,2.94695097068828,strong_negative,1.0,0.85,0
ER3_MEMBRANE,external_hard_bias_test,circular_membrane,circular_membrane_bessel_modes,"m=1,n=1","m=1,n=2","(1, 1)","(1, 2)",1.5933405056891872,2.9172954551056,2.5387339670698745,8.510612772379789,-1.323954949416413,1.323954949416413,-5.971878805309914,5.971878805309914,4.5106359607947875,2.2553179803973937,strong_negative,1.0,0.85,0
ER3_MEMBRANE,external_hard_bias_test,circular_membrane,circular_membrane_bessel_modes,"m=1,n=2","m=1,n=3","(1, 2)","(1, 3)",2.9172954551056,4.230439127913298,8.510612772379789,17.89661521497983,-1.3131436728076982,1.3131436728076982,-9.38600244260004,9.38600244260004,7.147734583018899,3.5738672915094494,strong_negative,1.0,0.85,0
ER3_MEMBRANE,external_hard_bias_test,circular_membrane,circular_membrane_bessel_modes,"m=2,n=1","m=2,n=2","(2, 1)","(2, 2)",2.1355487866287324,3.50014749030293,4.560568620071451,12.251032453873899,-1.3645987036741976,1.3645987036741976,-7.690463833802448,7.690463833802448,5.635696276931663,2.8178481384658314,strong_negative,1.0,0.85,0
ER3_MEMBRANE,external_hard_bias_test,circular_membrane,circular_membrane_bessel_modes,"m=2,n=2","m=2,n=3","(2, 2)","(2, 3)",3.50014749030293,4.831885262901703,12.251032453873899,23.347115193846655,-1.331737772598773,1.331737772598773,-11.096082739972756,11.096082739972756,8.332032753204633,4.166016376602316,strong_negative,1.0,0.85,0
