run_id,candidate_id,pair_mapping_status,pair_mapping_coverage_status,directed_pair_support,mapping_uses_lag_as_value_source,mapping_uses_pair_id_as_value_source,mapping_decision
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0086,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0087,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0088,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0089,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0090,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0091,true,not_measured_inventory_only,true,false,unknown,pair_mapping_plausible_requires_review
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0092,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0093,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0094,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0095,false,not_measured_inventory_only,false,true,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0096,false,not_measured_inventory_only,false,true,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0097,false,not_measured_inventory_only,false,true,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0098,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0099,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
QSB-PLANCK-BRIDGE-RESONATOR-INDEPENDENT-LAG-VARIABLE-ADMISSIBILITY-EXECUTION-01,CAND-0100,false,not_measured_inventory_only,false,false,unknown,not_pair_mappable
