run_id,t,p_family,theta,n_candidates,preferred_branch,preferred_alpha,preferred_score,branch_B1_flag,branch_B2_flag,branch_B3_flag,source_link_flag,branch_label
M33_V0_alpha_peak_robustness,5.0,P1,3e-09,1,B1,1.42,-0.0123974870052504,1,0,0,0,B1
M33_V0_alpha_peak_robustness,5.0,P1,1e-08,1,B1,1.42,-0.008202440385205,1,0,0,0,B1
M33_V0_alpha_peak_robustness,5.0,P2,1e-09,1,B1,1.4,0.015370305546303,1,0,0,0,B1
M33_V0_alpha_peak_robustness,5.0,P2,3e-09,1,B1,1.4,0.0152797786207655,1,0,0,0,B1
M33_V0_alpha_peak_robustness,5.0,P2,1e-08,1,B1,1.4,0.0137640701636109,1,0,0,0,B1
M33_V0_alpha_peak_robustness,5.0,P3,1e-09,1,B1,1.45,0.0981339810500427,1,0,0,0,B1
M33_V0_alpha_peak_robustness,5.0,P3,3e-09,1,B1,1.45,0.098063761489337,1,0,0,0,B1
M33_V0_alpha_peak_robustness,5.0,P3,1e-08,1,B1,1.45,0.1105253708907454,1,0,0,0,B1
M33_V0_alpha_peak_robustness,10.0,P0,1e-09,1,B2,1.58,0.1696569175730073,0,1,0,0,B1
M33_V0_alpha_peak_robustness,10.0,P0,3e-09,1,B2,1.58,0.1696569175730073,0,1,0,0,B1
M33_V0_alpha_peak_robustness,10.0,P0,1e-08,1,B2,1.58,0.1939884995770568,0,1,0,0,B1
M33_V0_alpha_peak_robustness,10.0,P1,1e-09,1,B2,1.58,0.0659662718026767,0,1,0,0,B1
M33_V0_alpha_peak_robustness,10.0,P1,3e-09,1,B2,1.58,0.0659662718026767,0,1,0,0,B1
M33_V0_alpha_peak_robustness,10.0,P1,1e-08,1,B2,1.58,0.0827991513053065,0,1,0,0,B1
M33_V0_alpha_peak_robustness,10.0,P2,1e-09,1,B3,1.78,0.1117480717940544,0,0,1,0,B1
M33_V0_alpha_peak_robustness,10.0,P2,3e-09,1,B3,1.78,0.1133343782261398,0,0,1,0,B1
M33_V0_alpha_peak_robustness,10.0,P2,1e-08,1,B3,1.78,0.1160063430579417,0,0,1,0,B1
M33_V0_alpha_peak_robustness,10.0,P3,1e-09,1,B2,1.57,0.174198420573097,0,1,0,1,B1
M33_V0_alpha_peak_robustness,10.0,P3,3e-09,1,B2,1.57,0.1731960056779902,0,1,0,1,B1
M33_V0_alpha_peak_robustness,10.0,P3,1e-08,1,B2,1.64,0.1738954966081106,0,1,0,1,B1
M33_V0_alpha_peak_robustness,20.0,P0,1e-09,1,B1,1.42,0.3875951735194283,1,0,0,0,B1
M33_V0_alpha_peak_robustness,20.0,P0,3e-09,1,B1,1.42,0.3875951735194283,1,0,0,0,B1
M33_V0_alpha_peak_robustness,20.0,P0,1e-08,1,B1,1.42,0.4105488328753481,1,0,0,0,B1
M33_V0_alpha_peak_robustness,20.0,P1,1e-09,1,B1,1.41,0.2515765883689199,1,0,0,0,B1
M33_V0_alpha_peak_robustness,20.0,P1,3e-09,1,B1,1.41,0.2515765883689199,1,0,0,0,B1
M33_V0_alpha_peak_robustness,20.0,P1,1e-08,1,B1,1.41,0.2746469489346346,1,0,0,0,B1
M33_V0_alpha_peak_robustness,20.0,P2,1e-09,1,B3,1.73,0.0462546378792737,0,0,1,0,B1
M33_V0_alpha_peak_robustness,20.0,P2,3e-09,1,B3,1.73,0.0462546378792737,0,0,1,0,B1
M33_V0_alpha_peak_robustness,20.0,P2,1e-08,1,B1,1.42,0.0506834350481784,1,0,0,0,B1
M33_V0_alpha_peak_robustness,20.0,P3,1e-09,1,B2,1.66,0.7255356470217422,0,1,0,1,B1
M33_V0_alpha_peak_robustness,20.0,P3,3e-09,1,B2,1.66,0.7281680775607784,0,1,0,1,B1
M33_V0_alpha_peak_robustness,20.0,P3,1e-08,1,B2,1.66,0.738477107762167,0,1,0,1,B1
M33_V0_alpha_peak_robustness,40.0,P0,1e-09,1,B3,1.8,0.380451650828069,0,0,1,0,B1
M33_V0_alpha_peak_robustness,40.0,P0,3e-09,1,B3,1.8,0.380451650828069,0,0,1,0,B1
M33_V0_alpha_peak_robustness,40.0,P0,1e-08,1,B3,1.8,0.380451650828069,0,0,1,0,B1
M33_V0_alpha_peak_robustness,40.0,P1,1e-09,1,B3,1.8,0.2660559802727548,0,0,1,0,B1
M33_V0_alpha_peak_robustness,40.0,P1,3e-09,1,B3,1.8,0.2705460347495576,0,0,1,0,B1
M33_V0_alpha_peak_robustness,40.0,P1,1e-08,1,B3,1.8,0.2731336774882869,0,0,1,0,B1
M33_V0_alpha_peak_robustness,40.0,P2,1e-09,1,B1,1.42,0.150130876390979,1,0,0,0,B1
M33_V0_alpha_peak_robustness,40.0,P2,3e-09,1,B2,1.63,0.1429416597342505,0,1,0,1,B1
M33_V0_alpha_peak_robustness,40.0,P2,1e-08,1,B2,1.63,0.1458135869956613,0,1,0,1,B1
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,1,B2,1.57,0.5405088019253488,0,1,0,1,B1
M33_V0_alpha_peak_robustness,40.0,P3,3e-09,1,B2,1.57,0.5385988408098141,0,1,0,1,B1
M33_V0_alpha_peak_robustness,40.0,P3,1e-08,1,B2,1.57,0.5481818955706022,0,1,0,1,B1
