run_id,case_label,t,p_family,theta,source_feature,branch_label,class_mode,class_label,class_rank,sum_contrib_primary,normalized_class_contrib,is_top1_class,is_top3_class,is_top5_class
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,,delta_p2,dp2=0.64,5,5.65808451678379e-13,5.078814087537517e-06,0,0,1
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,,delta_p2,dp2=2.17,6,6.181629798284411e-16,5.548759197629403e-09,0,0,0
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,,delta_p2,dp2=7.56,7,7.487553154356814e-17,6.720983104570071e-10,0,0,0
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,,delta_p2,dp2=-0.8,8,5.904873921082345e-17,5.300337378589197e-10,0,0,0
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,,delta_p2,dp2=-1.44,9,1.148099008544956e-20,1.0305574971864274e-13,0,0,0
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,,delta_p2,dp2=-3.68,10,2.569022708992277e-26,2.306008099902046e-19,0,0,0
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,,delta_p2,dp2=1.71,11,2.305076167051176e-27,2.069084206031109e-20,0,0,0
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,,delta_p2,dp2=-6.65,12,1.8213301790844225e-27,1.6348637677913763e-20,0,0,0
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,,delta_p2,dp2=-7.29,13,6.404893797816717e-30,5.749165597127513e-23,0,0,0
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,,delta_p2,dp2=-5.85,14,6.32829618827925e-36,5.680409993135277e-29,0,0,0
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,,delta_p2,dp2=-15.75,15,0.0,0.0,0,0,0
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,,delta_p2,dp2=-10.36,16,0.0,0.0,0,0,0
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,,delta_p2,dp2=-12.07,17,0.0,0.0,0,0,0
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,,delta_p2,dp2=-18.72,18,0.0,0.0,0,0,0
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,,delta_p2,dp2=-17.92,19,0.0,0.0,0,0,0
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,,delta_p2,dp2=-19.36,20,0.0,0.0,0,0,0
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,,delta_p2,dp2=3.61,21,0.0,0.0,0,0,0
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,5.0,P0,1e-09,neg,,delta_p,dp=-1,1,3.0046844394387894e-07,0.9990503078897941,1,1,1
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,5.0,P0,1e-09,neg,,delta_p,dp=-2,2,2.856237565075546e-10,0.0009496920812516661,0,1,1
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,5.0,P0,1e-09,neg,,delta_p,dp=-3,3,8.708137636916474e-18,2.895434699602949e-11,0,1,1
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,5.0,P0,1e-09,neg,,delta_p,dp=-4,4,0.0,0.0,0,0,1
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,5.0,P0,1e-09,neg,,delta_p,dp=-5,5,0.0,0.0,0,0,1
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,5.0,P0,1e-09,neg,,delta_p,dp=-6,6,0.0,0.0,0,0,0
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,5.0,P0,1e-09,neg,,delta_p2,dp2=1,1,1.5383588527100637e-07,0.5115005972913547,1,1,1
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,5.0,P0,1e-09,neg,,delta_p2,dp2=3,2,1.4663255861437274e-07,0.48754971040392914,0,1,1
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,5.0,P0,1e-09,neg,,delta_p2,dp2=4,3,2.856160094021681e-10,0.000949666322313656,0,1,1
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,5.0,P0,1e-09,neg,,delta_p2,dp2=0,4,4.703998114271865e-15,1.564067994193124e-08,0,0,1
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,5.0,P0,1e-09,neg,,delta_p2,dp2=8,5,3.043107272177908e-15,1.0118258068321005e-08,0,0,1
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,5.0,P0,1e-09,neg,,delta_p2,dp2=-1,6,3.4361266933232626e-17,1.1425038136630852e-10,0,0,0
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,5.0,P0,1e-09,neg,,delta_p2,dp2=5,7,2.960973292125736e-17,9.845164571438972e-11,0,0,0
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,5.0,P0,1e-09,neg,,delta_p2,dp2=9,8,3.236930152346624e-18,1.0762714456376218e-11,0,0,0
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,5.0,P0,1e-09,neg,,delta_p2,dp2=-3,9,1.2220661046863691e-27,4.06334023674259e-21,0,0,0
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,5.0,P0,1e-09,neg,,delta_p2,dp2=-4,10,1.4249695152576818e-29,4.7379891687316713e-23,0,0,0
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,5.0,P0,1e-09,neg,,delta_p2,dp2=-9,11,3.6071804472509405e-47,1.1993787730711587e-40,0,0,0
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,5.0,P0,1e-09,neg,,delta_p2,dp2=-8,12,7.574662987831645e-54,2.518557120616658e-47,0,0,0
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,5.0,P0,1e-09,neg,,delta_p2,dp2=-5,13,1.6462358550251994e-65,5.4736943961054815e-59,0,0,0
