run_id,case_label,t,p_family,theta,source_feature,branch_label,pair_i,pair_j,p_i,p_j,delta_p,delta_p2,pair_rank_primary,contrib_primary,normalized_contrib_primary,is_top1_pair,is_top3_pair,is_top5_pair
M33_V0_alpha_peak_robustness,t=40.0__pf=P3__th=1e-09,40.0,P3,1e-09,neg,S2,5,6,2.7,4.4,-1.7000000000000002,-12.070000000000002,21,0.0,0.0,0,0,0
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,5.0,P0,1e-09,neg,S1,2,3,-1.0,0.0,-1.0,1.0,1,1.5383588527100637e-07,0.5115005972913547,1,1,1
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,5.0,P0,1e-09,neg,S1,1,2,-2.0,-1.0,-1.0,3.0,2,1.4663255860890154e-07,0.4875497103857375,0,1,1
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,5.0,P0,1e-09,neg,S1,1,3,-2.0,0.0,-2.0,4.0,3,2.856160094021681e-10,0.000949666322313656,0,1,1
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,5.0,P0,1e-09,neg,S1,2,4,-1.0,1.0,-2.0,0.0,4,4.703998114271865e-15,1.564067994193124e-08,0,0,1
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,5.0,P0,1e-09,neg,S1,0,2,-3.0,-1.0,-2.0,8.0,5,3.043107272177908e-15,1.0118258068321005e-08,0,0,1
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,5.0,P0,1e-09,neg,S1,3,4,0.0,1.0,-1.0,-1.0,6,3.4361266933232626e-17,1.1425038136630852e-10,0,0,0
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,5.0,P0,1e-09,neg,S1,0,1,-3.0,-2.0,-1.0,5.0,7,2.960973292125736e-17,9.845164571438972e-11,0,0,0
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,5.0,P0,1e-09,neg,S1,1,4,-2.0,1.0,-3.0,3.0,8,5.471207483347785e-18,1.8191632535589943e-11,0,0,0
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,5.0,P0,1e-09,neg,S1,0,3,-3.0,0.0,-3.0,9.0,9,3.236930152346624e-18,1.0762714456376218e-11,0,0,0
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,5.0,P0,1e-09,neg,S1,2,5,-1.0,2.0,-3.0,-3.0,10,1.2220661030523206e-27,4.063340231309418e-21,0,0,0
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,5.0,P0,1e-09,neg,S1,3,5,0.0,2.0,-2.0,-4.0,11,1.4249695152576818e-29,4.7379891687316713e-23,0,0,0
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,5.0,P0,1e-09,neg,S1,4,5,1.0,2.0,-1.0,-3.0,12,1.634048536990085e-36,5.4331718584455666e-30,0,0,0
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,5.0,P0,1e-09,neg,S1,3,6,0.0,3.0,-3.0,-9.0,13,3.6071804472509405e-47,1.1993787730711587e-40,0,0,0
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,5.0,P0,1e-09,neg,S1,4,6,1.0,3.0,-2.0,-8.0,14,7.574662987831645e-54,2.518557120616658e-47,0,0,0
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,5.0,P0,1e-09,neg,S1,5,6,2.0,3.0,-1.0,-5.0,15,1.6462358550251994e-65,5.4736943961054815e-59,0,0,0
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,5.0,P0,1e-09,neg,S1,0,5,-3.0,2.0,-5.0,5.0,16,0.0,0.0,0,0,0
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,5.0,P0,1e-09,neg,S1,0,4,-3.0,1.0,-4.0,8.0,17,0.0,0.0,0,0,0
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,5.0,P0,1e-09,neg,S1,1,5,-2.0,2.0,-4.0,0.0,18,0.0,0.0,0,0,0
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,5.0,P0,1e-09,neg,S1,1,6,-2.0,3.0,-5.0,-5.0,19,0.0,0.0,0,0,0
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,5.0,P0,1e-09,neg,S1,0,6,-3.0,3.0,-6.0,0.0,20,0.0,0.0,0,0,0
M33_V0_alpha_peak_robustness,t=5.0__pf=P0__th=1e-09,5.0,P0,1e-09,neg,S1,2,6,-1.0,3.0,-4.0,-8.0,21,0.0,0.0,0,0,0
