database_path,table_count,matched_required_tables,compatibility_status,mutation_status
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260615_234802_368415.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260615_234802_421404.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260615_235557_973113.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260615_235557_981114.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260615_235614_345218.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260615_235614_353526.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260615_235748_636509.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260616_063001_655388.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260616_073400_107568.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260616_074925_736220.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260616_074925_762398.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260616_074948_021540.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260616_074948_032358.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260616_080034_181584.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260616_080034_222244.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260616_080052_589500.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260616_080052_710307.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260616_080846_861410.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260616_081041_021898.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260616_085653_001738.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260616_085939_762547.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260616_095213_259601.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260616_095213_330138.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260616_095306_607867.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260616_095306_617085.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260616_095643_623781.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260616_100639_530770.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260616_101034_191730.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260616_214846_129053.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260616_221935_425602.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260618_100943_756457.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260618_101129_701360.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260618_102419_496860.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260618_102535_227609.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
runs/qsb_research_data_browser/snapshots/qsb_metadata_snapshot_20260618_121440_055574.sqlite,22,meta_alias|meta_claim|meta_field|meta_lineage|meta_unit|meta_validation_result,compatible_core_tables_present,read_only_not_mutated
scripts/qsb_db05_create_empty_sqlite_database.py,,,read_error,read_only_not_mutated: file is not a database
