theta,k0_n_edges,k0_n_components,k0_graph_diameter,n0_fully_connected_fraction,n0_fragmented_fraction,n0_mean_n_edges,n0_mean_n_components,n0_mean_graph_diameter,n0_d03_minus_d01_defined_fraction,n0_d03_minus_d12_defined_fraction,n0_d02_minus_d13_defined_fraction,k0_d03_minus_d01_percentile,k0_d03_minus_d12_percentile,k0_d02_minus_d13_percentile
0.004430621457583882,6,1,1.0,1.0,0.0,6.0,1.0,1.42,1.0,1.0,1.0,0.62,0.66,0.62
0.004641588833612782,6,1,1.0,1.0,0.0,6.0,1.0,1.42,1.0,1.0,1.0,0.62,0.66,0.62
0.004862601580065354,6,1,1.0,1.0,0.0,6.0,1.0,1.42,1.0,1.0,1.0,0.62,0.66,0.62
0.0050941380148163806,6,1,1.0,1.0,0.0,6.0,1.0,1.44,1.0,1.0,1.0,0.6,0.66,0.62
0.005336699231206312,6,1,1.0,1.0,0.0,6.0,1.0,1.44,1.0,1.0,1.0,0.6,0.66,0.62
0.005590810182512223,6,1,1.0,1.0,0.0,6.0,1.0,1.46,1.0,1.0,1.0,0.6,0.66,0.62
0.005857020818056668,6,1,1.0,1.0,0.0,6.0,1.0,1.48,1.0,1.0,1.0,0.6,0.66,0.62
0.006135907273413176,6,1,1.0,1.0,0.0,6.0,1.0,1.5,1.0,1.0,1.0,0.6,0.66,0.62
0.006428073117284319,6,1,1.0,1.0,0.0,6.0,1.0,1.5,1.0,1.0,1.0,0.6,0.66,0.62
0.006734150657750821,6,1,1.0,1.0,0.0,6.0,1.0,1.5,1.0,1.0,1.0,0.6,0.66,0.62
0.007054802310718645,6,1,1.0,1.0,0.0,6.0,1.0,1.54,1.0,1.0,1.0,0.6,0.66,0.62
0.007390722033525776,6,1,1.0,1.0,0.0,6.0,1.0,1.58,1.0,1.0,1.0,0.6,0.66,0.62
0.007742636826811269,6,1,1.0,1.0,0.0,6.0,1.0,1.58,1.0,1.0,1.0,0.6,0.66,0.62
0.008111308307896872,6,1,1.0,1.0,0.0,6.0,1.0,1.58,1.0,1.0,1.0,0.6,0.66,0.62
0.008497534359086447,6,1,1.0,1.0,0.0,6.0,1.0,1.6,1.0,1.0,1.0,0.6,0.66,0.62
0.008902150854450393,6,1,1.0,1.0,0.0,6.0,1.0,1.64,1.0,1.0,1.0,0.6,0.66,0.62
0.0093260334688322,6,1,1.0,1.0,0.0,6.0,1.0,1.66,1.0,1.0,1.0,0.6,0.66,0.62
0.009770099572992257,6,1,1.0,1.0,0.0,6.0,1.0,1.66,1.0,1.0,1.0,0.6,0.66,0.62
0.010235310218990263,6,1,1.0,1.0,0.0,6.0,1.0,1.68,1.0,1.0,1.0,0.6,0.66,0.62
0.010722672220103237,6,1,1.0,1.0,0.0,6.0,1.0,1.72,1.0,1.0,1.0,0.6,0.66,0.62
0.011233240329780276,6,1,1.0,1.0,0.0,6.0,1.0,1.76,1.0,1.0,1.0,0.6,0.66,0.62
0.011768119524349984,6,1,1.0,1.0,0.0,6.0,1.0,1.76,1.0,1.0,1.0,0.6,0.66,0.62
0.012328467394420665,6,1,1.0,1.0,0.0,6.0,1.0,1.8,1.0,1.0,1.0,0.6,0.66,0.62
0.01291549665014884,6,1,1.0,1.0,0.0,6.0,1.0,1.82,1.0,1.0,1.0,0.58,0.66,0.62
0.013530477745798075,6,1,1.0,0.98,0.02,5.94,1.02,1.86,0.98,0.98,0.98,0.5714285714285714,0.6530612244897959,0.6122448979591837
0.014174741629268055,6,1,1.0,0.98,0.02,5.94,1.02,1.9,0.98,0.98,0.98,0.5714285714285714,0.6530612244897959,0.6122448979591837
0.01484968262254465,6,1,1.0,0.94,0.06,5.8,1.06,1.84,0.94,0.94,0.96,0.5957446808510638,0.6595744680851063,0.625
0.015556761439304723,6,1,1.0,0.94,0.06,5.8,1.06,1.86,0.94,0.94,0.96,0.5957446808510638,0.6595744680851063,0.625
0.016297508346206444,6,1,1.0,0.94,0.06,5.8,1.06,1.86,0.94,0.94,0.96,0.5957446808510638,0.6595744680851063,0.625
0.017073526474706915,6,1,1.0,0.94,0.06,5.8,1.06,1.9,0.94,0.94,0.96,0.5957446808510638,0.6382978723404256,0.625
0.01788649529057435,6,1,1.0,0.94,0.06,5.8,1.06,1.96,0.94,0.94,0.96,0.5957446808510638,0.6382978723404256,0.625
0.018738174228603847,6,1,1.0,0.94,0.06,5.8,1.06,1.98,0.94,0.94,0.96,0.574468085106383,0.6382978723404256,0.6458333333333334
0.019630406500402715,6,1,1.0,0.92,0.08,5.72,1.08,1.96,0.92,0.92,0.96,0.5434782608695652,0.6304347826086957,0.6458333333333334
0.020565123083486514,6,1,1.0,0.92,0.08,5.68,1.1,2.02,0.92,0.92,0.96,0.5434782608695652,0.6304347826086957,0.6458333333333334
0.021544346900318846,6,1,1.0,0.9,0.1,5.62,1.12,2.02,0.9,0.9,0.94,0.5333333333333333,0.6222222222222222,0.6382978723404256
0.022570197196339202,6,1,1.0,0.86,0.14,5.5,1.16,2.02,0.86,0.86,0.9,0.5581395348837209,0.6511627906976745,0.6222222222222222
0.023644894126454083,6,1,1.0,0.82,0.18,5.38,1.2,2.0,0.82,0.82,0.86,0.5609756097560976,0.6341463414634146,0.6046511627906976
0.024770763559917114,6,1,1.0,0.82,0.18,5.38,1.2,2.04,0.82,0.82,0.86,0.5609756097560976,0.6341463414634146,0.6046511627906976
0.025950242113997372,6,1,1.0,0.78,0.22,5.22,1.26,2.04,0.78,0.78,0.82,0.5384615384615384,0.6410256410256411,0.5853658536585366
0.027185882427329416,6,1,1.0,0.74,0.26,5.1,1.3,2.02,0.76,0.74,0.78,0.5263157894736842,0.6486486486486487,0.5897435897435898
0.02848035868435802,6,1,1.0,0.72,0.28,5.0,1.34,2.02,0.74,0.72,0.76,0.5135135135135135,0.6388888888888888,0.5789473684210527
0.029836472402833405,6,1,1.0,0.68,0.32,4.84,1.4,2.02,0.7,0.68,0.72,0.5142857142857142,0.6176470588235294,0.5555555555555556
0.03125715849688237,6,1,1.0,0.68,0.32,4.84,1.4,2.06,0.7,0.68,0.72,0.4857142857142857,0.5588235294117647,0.5555555555555556
0.0327454916287773,6,1,1.0,0.6,0.4,4.56,1.48,2.02,0.64,0.6,0.66,0.5,0.6,0.5454545454545454
0.03430469286314919,6,1,2.0,0.54,0.46,4.34,1.56,2.0,0.6,0.54,0.6,0.8333333333333334,0.8518518518518519,0.5
0.03593813663804628,6,1,2.0,0.48,0.52,4.1,1.66,1.92,0.58,0.48,0.54,0.8275862068965517,0.8333333333333334,0.5555555555555556
0.037649358067924694,6,1,2.0,0.46,0.54,4.0,1.7,1.96,0.54,0.46,0.52,0.8148148148148148,0.8260869565217391,0.5769230769230769
0.03944206059437656,6,1,2.0,0.42,0.58,3.82,1.78,1.9591836734693877,0.48,0.42,0.48,0.7916666666666666,0.8571428571428571,0.5833333333333334
0.04132012400115339,6,1,2.0,0.34,0.66,3.4,1.94,1.8125,0.42,0.38,0.4,0.7619047619047619,0.8947368421052632,0.6
0.04328761281083059,6,1,2.0,0.3,0.7,3.2,2.02,1.7291666666666667,0.4,0.34,0.36,0.75,0.8823529411764706,0.6111111111111112
0.04534878508128584,6,1,2.0,0.28,0.72,3.12,2.06,1.75,0.38,0.3,0.34,0.7894736842105263,0.8666666666666667,0.6470588235294118
0.04750810162102798,6,1,3.0,0.24,0.76,2.88,2.16,1.6875,0.34,0.26,0.28,1.0,0.8461538461538461,0.5714285714285714
0.049770235643321115,6,1,3.0,0.18,0.82,2.58,2.28,1.625,0.26,0.18,0.22,1.0,0.7777777777777778,0.45454545454545453
0.05214008287999687,6,1,3.0,0.14,0.86,2.32,2.4,1.574468085106383,0.18,0.14,0.18,1.0,0.7142857142857143,0.5555555555555556
0.05462277217684343,0,4,,0.06,0.94,1.74,2.68,1.4090909090909092,0.12,0.06,0.1,,,
0.0572236765935022,0,4,,0.04,0.96,1.5,2.82,1.3333333333333333,0.1,0.06,0.08,,,
0.05994842503189412,0,4,,0.02,0.98,1.3,2.96,1.3076923076923077,0.1,0.02,0.04,,,
0.06280291441834256,0,4,,0.0,1.0,1.1,3.08,1.25,0.06,0.0,0.02,,,
0.06579332246575682,0,4,,0.0,1.0,0.96,3.2,1.2580645161290323,0.04,0.0,0.02,,,
0.06892612104349699,0,4,,0.0,1.0,0.78,3.32,1.1785714285714286,0.02,0.0,0.02,,,
0.07220809018385467,0,4,,0.0,1.0,0.58,3.48,1.1304347826086956,0.02,0.0,0.0,,,
0.07564633275546291,0,4,,0.0,1.0,0.48,3.58,1.1666666666666667,0.02,0.0,0.0,,,
0.07924828983539177,0,4,,0.0,1.0,0.42,3.64,1.2,0.02,0.0,0.0,,,
0.08302175681319748,0,4,,0.0,1.0,0.34,3.7,1.1538461538461537,0.02,0.0,0.0,,,
0.08697490026177834,0,4,,0.0,1.0,0.24,3.8,1.25,0.02,0.0,0.0,,,
0.09111627561154896,0,4,,0.0,1.0,0.16,3.86,1.1666666666666667,0.0,0.0,0.0,,,
0.09545484566618342,0,4,,0.0,1.0,0.14,3.88,1.2,0.0,0.0,0.0,,,
0.1,0,4,,0.0,1.0,0.1,3.92,1.3333333333333333,0.0,0.0,0.0,,,
