run_id,case_id,reference_mode,class_mode,top_k,branch_label_none,branch_label_quadratic,class_overlap_none_vs_quadratic,weighted_class_shift,identity_preserved_flag
config_m33_v0,P0__k0=-4__sk=0.8__t=5__nu=0.02,pruned,delta_p,3,S3,S3,1.0,-6.098199722970321e-11,1
config_m33_v0,P0__k0=-4__sk=0.8__t=5__nu=0.02,pruned,delta_p,5,S3,S3,1.0,-6.098199722970321e-11,1
config_m33_v0,P0__k0=-4__sk=0.8__t=5__nu=0.02,pruned,delta_p,10,S3,S3,1.0,-6.098199722970321e-11,1
config_m33_v0,P0__k0=-4__sk=0.8__t=5__nu=0.02,pruned,delta_p2,1,S3,S3,1.0,1.8994904372737764e-06,1
config_m33_v0,P0__k0=-4__sk=0.8__t=5__nu=0.02,pruned,delta_p2,3,S3,S3,1.0,1.8994904372737764e-06,1
config_m33_v0,P0__k0=-4__sk=0.8__t=5__nu=0.02,pruned,delta_p2,5,S3,S3,1.0,1.8994904372737764e-06,1
config_m33_v0,P0__k0=-4__sk=0.8__t=5__nu=0.02,pruned,delta_p2,10,S3,S3,1.0,1.8994904372737764e-06,1
config_m33_v0,P0__k0=-4__sk=0.8__t=10__nu=0.02,pruned,delta_p,1,S3,S3,1.0,-8.764100556390986e-13,1
config_m33_v0,P0__k0=-4__sk=0.8__t=10__nu=0.02,pruned,delta_p,3,S3,S3,1.0,-8.764100556390986e-13,1
config_m33_v0,P0__k0=-4__sk=0.8__t=10__nu=0.02,pruned,delta_p,5,S3,S3,1.0,-8.764100556390986e-13,1
config_m33_v0,P0__k0=-4__sk=0.8__t=10__nu=0.02,pruned,delta_p,10,S3,S3,1.0,-8.764100556390986e-13,1
config_m33_v0,P0__k0=-4__sk=0.8__t=10__nu=0.02,pruned,delta_p2,1,S3,S3,1.0,-7.216895218098429e-07,1
config_m33_v0,P0__k0=-4__sk=0.8__t=10__nu=0.02,pruned,delta_p2,3,S3,S3,1.0,-7.216895218098429e-07,1
config_m33_v0,P0__k0=-4__sk=0.8__t=10__nu=0.02,pruned,delta_p2,5,S3,S3,1.0,-7.216895218098429e-07,1
config_m33_v0,P0__k0=-4__sk=0.8__t=10__nu=0.02,pruned,delta_p2,10,S3,S3,1.0,-7.216895218098429e-07,1
config_m33_v0,P0__k0=-4__sk=1__t=2__nu=0.02,pruned,delta_p,1,S3,S3,1.0,-5.223415278088339e-08,1
config_m33_v0,P0__k0=-4__sk=1__t=2__nu=0.02,pruned,delta_p,3,S3,S3,1.0,-5.223415278088339e-08,1
config_m33_v0,P0__k0=-4__sk=1__t=2__nu=0.02,pruned,delta_p,5,S3,S3,1.0,-5.223415278088339e-08,1
config_m33_v0,P0__k0=-4__sk=1__t=2__nu=0.02,pruned,delta_p,10,S3,S3,1.0,-5.223415278088339e-08,1
config_m33_v0,P0__k0=-4__sk=1__t=2__nu=0.02,pruned,delta_p2,1,S3,S3,1.0,-0.00014456814238206217,1
config_m33_v0,P0__k0=-4__sk=1__t=2__nu=0.02,pruned,delta_p2,3,S3,S3,1.0,-0.00014456814238206217,1
config_m33_v0,P0__k0=-4__sk=1__t=2__nu=0.02,pruned,delta_p2,5,S3,S3,1.0,-0.00014456814238206217,1
config_m33_v0,P0__k0=-4__sk=1__t=2__nu=0.02,pruned,delta_p2,10,S3,S3,1.0,-0.00014456814238206217,1
config_m33_v0,P0__k0=-4__sk=1__t=5__nu=0.02,pruned,delta_p,1,S3,S3,1.0,-3.8671860236316746e-07,1
config_m33_v0,P0__k0=-4__sk=1__t=5__nu=0.02,pruned,delta_p,3,S3,S3,1.0,-3.8671860236316746e-07,1
config_m33_v0,P0__k0=-4__sk=1__t=5__nu=0.02,pruned,delta_p,5,S3,S3,1.0,-3.8671860236316746e-07,1
config_m33_v0,P0__k0=-4__sk=1__t=5__nu=0.02,pruned,delta_p,10,S3,S3,1.0,-3.8671860236316746e-07,1
config_m33_v0,P0__k0=-4__sk=1__t=5__nu=0.02,pruned,delta_p2,1,S3,S3,1.0,0.0002697044991916142,1
config_m33_v0,P0__k0=-4__sk=1__t=5__nu=0.02,pruned,delta_p2,3,S3,S3,1.0,0.0002697044991916142,1
config_m33_v0,P0__k0=-4__sk=1__t=5__nu=0.02,pruned,delta_p2,5,S3,S3,1.0,0.0002697044991916142,1
config_m33_v0,P0__k0=-4__sk=1__t=5__nu=0.02,pruned,delta_p2,10,S3,S3,1.0,0.0002697044991916142,1
config_m33_v0,P0__k0=-4__sk=1__t=10__nu=0.02,pruned,delta_p,1,S3,S3,1.0,-4.816440246635523e-09,1
config_m33_v0,P0__k0=-4__sk=1__t=10__nu=0.02,pruned,delta_p,3,S3,S3,1.0,-4.816440246635523e-09,1
config_m33_v0,P0__k0=-4__sk=1__t=10__nu=0.02,pruned,delta_p,5,S3,S3,1.0,-4.816440246635523e-09,1
config_m33_v0,P0__k0=-4__sk=1__t=10__nu=0.02,pruned,delta_p,10,S3,S3,1.0,-4.816440246635523e-09,1
config_m33_v0,P0__k0=-4__sk=1__t=10__nu=0.02,pruned,delta_p2,1,S3,S3,1.0,-0.00011609076093122006,1
config_m33_v0,P0__k0=-4__sk=1__t=10__nu=0.02,pruned,delta_p2,3,S3,S3,1.0,-0.00011609076093122006,1
config_m33_v0,P0__k0=-4__sk=1__t=10__nu=0.02,pruned,delta_p2,5,S3,S3,1.0,-0.00011609076093122006,1
config_m33_v0,P0__k0=-4__sk=1__t=10__nu=0.02,pruned,delta_p2,10,S3,S3,0.9,-0.00011609076093122006,1
config_m33_v0,P0__k0=-1.5__sk=0.3__t=2__nu=0.02,pruned,delta_p,1,S3,S3,1.0,2.220446049250313e-16,1
config_m33_v0,P0__k0=-1.5__sk=0.3__t=2__nu=0.02,pruned,delta_p,3,S3,S3,1.0,2.220446049250313e-16,1
config_m33_v0,P0__k0=-1.5__sk=0.3__t=2__nu=0.02,pruned,delta_p,5,S3,S3,1.0,2.220446049250313e-16,1
config_m33_v0,P0__k0=-1.5__sk=0.3__t=2__nu=0.02,pruned,delta_p,10,S3,S3,1.0,2.220446049250313e-16,1
config_m33_v0,P0__k0=-1.5__sk=0.3__t=2__nu=0.02,pruned,delta_p2,1,S3,S3,1.0,3.6959224569699245e-10,1
config_m33_v0,P0__k0=-1.5__sk=0.3__t=2__nu=0.02,pruned,delta_p2,3,S3,S3,1.0,3.6959224569699245e-10,1
config_m33_v0,P0__k0=-1.5__sk=0.3__t=2__nu=0.02,pruned,delta_p2,5,S3,S3,1.0,3.6959224569699245e-10,1
config_m33_v0,P0__k0=-1.5__sk=0.3__t=2__nu=0.02,pruned,delta_p2,10,S3,S3,1.0,3.6959224569699245e-10,1
config_m33_v0,P0__k0=-1.5__sk=0.3__t=5__nu=0.02,pruned,delta_p,1,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-1.5__sk=0.3__t=5__nu=0.02,pruned,delta_p,3,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-1.5__sk=0.3__t=5__nu=0.02,pruned,delta_p,5,S3,S3,1.0,0.0,1
config_m33_v0,P0__k0=-1.5__sk=0.3__t=5__nu=0.02,pruned,delta_p,10,S3,S3,1.0,0.0,1
