run_id,case_id,reference_mode,top_k,pair_i,pair_j,present_in_none,present_in_quadratic,rank_none,rank_quadratic,weight_none,weight_quadratic,rank_shift,weight_shift,migration_type
config_m33_v0,P0__k0=-4__sk=0.5__t=2__nu=0.02,pruned,5,0,3,1,1,4,4,5.351802861468563e-16,8.169183184987794e-16,0,2.817380323519231e-16,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=2__nu=0.02,pruned,5,1,2,1,1,3,3,3.7751327302529266e-11,5.0561715164357866e-11,0,1.28103878618286e-11,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=2__nu=0.02,pruned,5,1,3,1,1,5,5,4.496168050248599e-20,9.649148049532656e-20,0,5.152979999284057e-20,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=2__nu=0.02,pruned,10,0,1,1,1,1,1,0.9999995194803925,0.9999988440405314,0,-6.754398610420154e-07,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=2__nu=0.02,pruned,10,0,2,1,1,2,2,4.804818558324406e-07,1.1559089059654605e-06,0,6.754270501330199e-07,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=2__nu=0.02,pruned,10,0,3,1,1,4,4,5.351802861468563e-16,8.169183184987794e-16,0,2.817380323519231e-16,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=2__nu=0.02,pruned,10,0,4,1,1,7,7,1.5242771105983347e-28,3.321582242065672e-28,0,1.7973051314673374e-28,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=2__nu=0.02,pruned,10,0,5,1,1,10,10,4.095264117445472e-42,8.317616052480006e-42,0,4.222351935034534e-42,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=2__nu=0.02,pruned,10,1,2,1,1,3,3,3.7751327302529266e-11,5.0561715164357866e-11,0,1.28103878618286e-11,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=2__nu=0.02,pruned,10,1,3,1,1,5,5,4.496168050248599e-20,9.649148049532656e-20,0,5.152979999284057e-20,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=2__nu=0.02,pruned,10,1,4,1,1,8,8,1.2413628920139196e-31,2.178137968169995e-31,0,9.367750761560756e-32,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=2__nu=0.02,pruned,10,2,3,1,1,6,6,8.756506555021412e-27,1.4624291320483663e-26,0,5.867784765462251e-27,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=2__nu=0.02,pruned,10,2,4,1,1,9,9,2.58508183089097e-38,4.73487227735831e-38,0,2.1497904464673402e-38,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=5__nu=0.02,pruned,1,0,1,1,1,1,1,0.9999990951053136,0.9999985853277316,0,-5.097775820361861e-07,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=5__nu=0.02,pruned,3,0,1,1,1,1,1,0.9999990951053136,0.9999985853277316,0,-5.097775820361861e-07,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=5__nu=0.02,pruned,3,0,2,1,1,2,2,9.048569344182244e-07,1.41467004966004e-06,0,5.098131152418155e-07,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=5__nu=0.02,pruned,3,1,2,1,1,3,3,3.7751311281799096e-11,2.2186782355187386e-12,0,-3.5532633046280355e-11,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=5__nu=0.02,pruned,5,0,1,1,1,1,1,0.9999990951053136,0.9999985853277316,0,-5.097775820361861e-07,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=5__nu=0.02,pruned,5,0,2,1,1,2,2,9.048569344182244e-07,1.41467004966004e-06,0,5.098131152418155e-07,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=5__nu=0.02,pruned,5,0,3,1,1,4,4,6.212008344825567e-16,4.0887721747695736e-17,0,-5.803131127348609e-16,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=5__nu=0.02,pruned,5,1,2,1,1,3,3,3.7751311281799096e-11,2.2186782355187386e-12,0,-3.5532633046280355e-11,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=5__nu=0.02,pruned,5,1,3,1,1,5,5,8.46731003302628e-20,1.3371629336754821e-19,0,4.9043193037285414e-20,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=5__nu=0.02,pruned,10,0,1,1,1,1,1,0.9999990951053136,0.9999985853277316,0,-5.097775820361861e-07,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=5__nu=0.02,pruned,10,0,2,1,1,2,2,9.048569344182244e-07,1.41467004966004e-06,0,5.098131152418155e-07,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=5__nu=0.02,pruned,10,0,3,1,1,4,4,6.212008344825567e-16,4.0887721747695736e-17,0,-5.803131127348609e-16,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=5__nu=0.02,pruned,10,0,4,1,1,7,7,6.271815979785775e-28,1.942462152573024e-27,0,1.3152805545944462e-27,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=5__nu=0.02,pruned,10,0,5,1,1,10,10,7.097255255979908e-42,7.770031915184115e-42,0,6.727766592042074e-43,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=5__nu=0.02,pruned,10,1,2,1,1,3,3,3.7751311281799096e-11,2.2186782355187386e-12,0,-3.5532633046280355e-11,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=5__nu=0.02,pruned,10,1,3,1,1,5,5,8.46731003302628e-20,1.3371629336754821e-19,0,4.9043193037285414e-20,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=5__nu=0.02,pruned,10,1,4,1,1,8,8,1.4408895177486464e-31,1.3618768867618108e-31,0,-7.901263098683553e-33,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=5__nu=0.02,pruned,10,2,3,1,1,6,6,8.756502838976463e-27,7.747759984761021e-27,0,-1.0087428542154417e-27,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=5__nu=0.02,pruned,10,2,4,1,1,9,9,4.868298755356085e-38,6.551134150595544e-38,0,1.6828353952394592e-38,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=10__nu=0.02,pruned,1,0,1,1,1,1,1,0.9999998511868144,0.9999996975782862,0,-1.5360852823054216e-07,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=10__nu=0.02,pruned,3,0,1,1,1,1,1,0.9999998511868144,0.9999996975782862,0,-1.5360852823054216e-07,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=10__nu=0.02,pruned,3,0,2,1,1,2,2,1.487754342284189e-07,3.02380292780748e-07,0,1.536048585523291e-07,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=10__nu=0.02,pruned,3,1,2,1,1,3,3,3.775133982489299e-11,4.142080175806992e-11,0,3.66946193317693e-12,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=10__nu=0.02,pruned,5,0,1,1,1,1,1,0.9999998511868144,0.9999996975782862,0,-1.5360852823054216e-07,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=10__nu=0.02,pruned,5,0,2,1,1,2,2,1.487754342284189e-07,3.02380292780748e-07,0,1.536048585523291e-07,shared
config_m33_v0,P0__k0=-4__sk=0.5__t=10__nu=0.02,pruned,5,0,3,1,1,4,4,4.264114488098536e-17,2.538733357645642e-16,0,2.1123219088357883e-16,shared
