group_name,edge_rows,strength_min,strength_median,strength_mean,strength_max,theta_edge_min,theta_edge_max,margin_min,margin_median,margin_mean,margin_max
"abs_delta_pair=5,3",16,0.050057322793776914,0.050057322793776914,0.05005732279377692,0.05005732279377694,0.5,0.5,-0.4499426772062231,-0.4499426772062231,-0.4499426772062231,-0.44994267720622305
"abs_delta_pair=5,4",12,0.019253805674400642,0.01925380567440066,0.01925380567440066,0.01925380567440067,0.5,0.5,-0.48074619432559934,-0.48074619432559934,-0.48074619432559934,-0.48074619432559934
"abs_delta_pair=5,5",6,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
"abs_delta_pair=5,6",4,0.006936140120339703,0.006936140120339725,0.006936140120339725,0.006936140120339746,0.5,0.5,-0.4930638598796603,-0.4930638598796603,-0.4930638598796603,-0.4930638598796602
"abs_delta_pair=6,1",12,0.08054800671397025,0.08054800671397029,0.08054800671397029,0.08054800671397029,0.5,0.5,-0.4194519932860298,-0.4194519932860297,-0.4194519932860297,-0.4194519932860297
"abs_delta_pair=6,2",10,0.34091958020143304,0.34091958020143315,0.34091958020143315,0.34091958020143315,0.5,0.5,-0.15908041979856696,-0.15908041979856685,-0.15908041979856685,-0.15908041979856685
"abs_delta_pair=6,3",8,0.2496419050598439,0.2496419050598439,0.24964190505984393,0.24964190505984396,0.5,0.5,-0.2503580949401561,-0.2503580949401561,-0.2503580949401561,-0.25035809494015604
"abs_delta_pair=6,4",6,0.08320353274661693,0.08320353274661696,0.08320353274661695,0.08320353274661697,0.5,0.5,-0.41679646725338304,-0.41679646725338304,-0.41679646725338304,-0.41679646725338304
"abs_delta_pair=6,5",4,0.006936140120339733,0.00693614012033974,0.00693614012033974,0.006936140120339746,0.5,0.5,-0.4930638598796603,-0.4930638598796603,-0.4930638598796603,-0.4930638598796602
"abs_delta_pair=6,6",1,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5
