run_id,t,p_family,theta,source_feature,class_mode,class_label,n_pairs_in_class,sum_pair_weight,sum_contrib_primary,mean_contrib_primary,max_contrib_primary,class_rank,cumulative_class_contrib
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-5.7,1,4.495306945499785e-20,2.3050761670511757e-27,2.3050761670511757e-27,2.3050761670511757e-27,10,1.0
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-3.5,1,1.8645765037568366e-20,1.8213301790844222e-27,1.8213301790844222e-27,1.8213301790844222e-27,11,1.0
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-2.7,1,1.1142751875940987e-22,6.404893797816717e-30,6.404893797816717e-30,6.404893797816717e-30,12,1.0
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-1.5,1,4.236403573580995e-28,6.32829618827925e-36,6.32829618827925e-36,6.32829618827925e-36,13,1.0
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-3.2,1,1.724739773969599e-44,0.0,0.0,0.0,14,1.0
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-1.9,1,0.0016804932822059176,0.0,0.0,0.0,15,1.0
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-1.7,1,8.789099024336973e-55,0.0,0.0,0.0,16,1.0
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-4.4,1,4.536476994722361e-39,0.0,0.0,0.0,17,1.0
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-5.2,1,7.59113054689502e-37,0.0,0.0,0.0,18,1.0
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-6.3,1,1.3255273052370253e-35,0.0,0.0,0.0,19,1.0
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p,dp=-7.4,1,1.8301454406883918e-36,0.0,0.0,0.0,20,1.0
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=5.39,1,0.6779593773129801,7.381004839481204e-08,7.381004839481204e-08,7.381004839481204e-08,1,0.6625343125883215
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=2.97,1,0.2812059645237097,3.6270370429756974e-08,3.6270370429756974e-08,3.6270370429756974e-08,2,0.9881046849509532
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=8.36,1,0.038825893049062594,1.323607714932935e-09,1.323607714932935e-09,1.323607714932935e-09,3,0.9999856624956223
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=9,1,0.0002320244257802501,1.030718068798585e-12,1.030718068798585e-12,1.030718068798585e-12,4,0.9999949144349182
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=0.64,1,9.62397669063791e-05,5.65808451678379e-13,5.65808451678379e-13,5.65808451678379e-13,5,0.9999999932490058
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=2.17,1,6.389128848401999e-09,6.181629798284411e-16,6.181629798284411e-16,6.181629798284411e-16,6,0.9999999987977649
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=7.56,1,8.82142147179887e-10,7.487553154356814e-17,7.487553154356814e-17,7.487553154356814e-17,7,0.9999999994698632
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=-0.8,1,3.6589748832431564e-10,5.904873921082345e-17,5.904873921082345e-17,5.904873921082345e-17,8,0.999999999999897
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=-1.44,1,2.1866117674512793e-12,1.1480990085449561e-20,1.1480990085449561e-20,1.1480990085449561e-20,9,1.0
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=-3.68,1,3.2558352845664134e-19,2.5690227089922775e-26,2.5690227089922775e-26,2.5690227089922775e-26,10,1.0
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=1.71,1,4.495306945499785e-20,2.3050761670511757e-27,2.3050761670511757e-27,2.3050761670511757e-27,11,1.0
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=-6.65,1,1.8645765037568366e-20,1.8213301790844222e-27,1.8213301790844222e-27,1.8213301790844222e-27,12,1.0
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=-7.29,1,1.1142751875940987e-22,6.404893797816717e-30,6.404893797816717e-30,6.404893797816717e-30,13,1.0
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=-5.85,1,4.236403573580995e-28,6.32829618827925e-36,6.32829618827925e-36,6.32829618827925e-36,14,1.0
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=-15.75,1,1.3255273052370253e-35,0.0,0.0,0.0,15,1.0
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=-10.36,1,1.8301454406883918e-36,0.0,0.0,0.0,16,1.0
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=-12.07,1,8.789099024336973e-55,0.0,0.0,0.0,17,1.0
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=-18.72,1,7.59113054689502e-37,0.0,0.0,0.0,18,1.0
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=-17.92,1,1.724739773969599e-44,0.0,0.0,0.0,19,1.0
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=-19.36,1,4.536476994722361e-39,0.0,0.0,0.0,20,1.0
M33_V0_alpha_peak_robustness,40.0,P3,1e-09,neg,delta_p2,dp2=3.61,1,0.0016804932822059176,0.0,0.0,0.0,21,1.0
