run_id,t,p_family,alpha,n_nodes,n_pairs,I_net,I_abs,f_pos,f_neg,f_zero,mean_kpos,mean_kneg,sum_kpos,sum_kneg,lambda_max_kpos,lambda_max_kneg,lambda_max_kabs,sign_imbalance,source_peak_flag,source_feature,finite_fraction
M33_V0_alpha_peak_robustness,2.0,P2,0.9,7,21,-3.1396279569295422e-09,7.076997481795398e-08,0.47619047619047616,0.5238095238095238,0.0,3.381517343051222e-08,3.695480138744176e-08,7.101186420407565e-07,7.760508291362769e-07,3.145855489574421e-07,3.5727142528669514e-07,5.439778910085817e-07,0.04761904761904767,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,2.0,P2,1.0,7,21,-1.2886543464196205e-08,6.943680352514794e-08,0.3333333333333333,0.6666666666666666,0.0,2.8275130030475863e-08,4.116167349467207e-08,5.937777306399931e-07,8.643951433881135e-07,2.6737907770218813e-07,4.046897951109812e-07,5.357539420771135e-07,0.3333333333333333,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,2.0,P2,1.1,7,21,-1.557099749910606e-08,6.965770651989108e-08,0.38095238095238093,0.6190476190476191,0.0,2.704335451039251e-08,4.261435200949857e-08,5.679104447182427e-07,8.9490139219947e-07,2.331876777435372e-07,4.061455803167452e-07,5.055417114160554e-07,0.23809523809523814,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,2.0,P2,1.2,7,21,-3.536695564752826e-09,6.105485266765043e-08,0.5238095238095238,0.47619047619047616,0.0,2.8759078551448804e-08,3.229577411620163e-08,6.039406495804249e-07,6.782112564402342e-07,2.2562553920945416e-07,3.553809318717766e-07,4.466744855061699e-07,-0.04761904761904767,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,2.0,P2,1.3,7,21,-1.1668095505451616e-08,6.186745665765841e-08,0.38095238095238093,0.6190476190476191,0.0,2.5099680576103398e-08,3.6767776081555016e-08,5.270932920981714e-07,7.721232977126553e-07,1.7757970834632507e-07,3.1422380855223315e-07,4.294756091399891e-07,0.23809523809523814,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,2.0,P2,1.32,7,21,-9.035279152034032e-09,5.941779940210368e-08,0.47619047619047616,0.5238095238095238,0.0,2.5191260125034825e-08,3.422653927706886e-08,5.290164626257313e-07,7.18757324818446e-07,1.7104733871746832e-07,3.0282413547251e-07,4.1229374210618354e-07,0.04761904761904767,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,2.0,P2,1.34,7,21,-6.344712107384362e-09,5.481901755824538e-08,0.5238095238095238,0.47619047619047616,0.0,2.423715272543051e-08,3.058186483281487e-08,5.089802072340407e-07,6.422191614891123e-07,1.5822407559914268e-07,2.912534993843333e-07,3.8828645912347206e-07,-0.04761904761904767,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,2.0,P2,1.36,7,21,-5.14037221225087e-09,5.1544407246997814e-08,0.5714285714285714,0.42857142857142855,0.0,2.3202017517373472e-08,2.8342389729624342e-08,4.872423678648429e-07,5.951901843221112e-07,1.4496960758773288e-07,2.797819679235559e-07,3.6224855262313995e-07,-0.14285714285714285,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,2.0,P2,1.38,7,21,-6.416059791949701e-09,5.0942507511249585e-08,0.5714285714285714,0.42857142857142855,0.0,2.2263223859649944e-08,2.8679283651599645e-08,4.675277010526488e-07,6.022649566835925e-07,1.4348174528905382e-07,2.7051565840670106e-07,3.498792683859496e-07,-0.14285714285714285,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,2.0,P2,1.4,7,21,-1.0177215163176359e-08,5.1321434257494674e-08,0.47619047619047616,0.5238095238095238,0.0,2.057210954715916e-08,3.074932471033552e-08,4.3201430049034234e-07,6.457358189170459e-07,1.3841811296944665e-07,2.65635369092843e-07,3.41963507624597e-07,0.04761904761904767,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,2.0,P2,1.42,7,21,-1.5451126948977817e-08,5.0898430859715454e-08,0.47619047619047616,0.5238095238095238,0.0,1.772365195536882e-08,3.317477890434664e-08,3.721966910627452e-07,6.966703569912793e-07,1.2136978920221213e-07,2.640906650133352e-07,3.342281150181783e-07,0.04761904761904767,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,2.0,P2,1.44,7,21,-2.0736570522178022e-08,4.722866211748012e-08,0.42857142857142855,0.5714285714285714,0.0,1.3246045797651047e-08,3.398261631982907e-08,2.78166961750672e-07,7.136349427164105e-07,9.744894690803796e-08,2.609717317982292e-07,3.1850907937120764e-07,0.14285714285714285,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,2.0,P2,1.46,7,21,-2.46767350196169e-08,4.8339224773412806e-08,0.38095238095238093,0.6190476190476191,0.0,1.1831244876897953e-08,3.6507979896514853e-08,2.48456142414857e-07,7.66667577826812e-07,8.952808022866168e-08,2.610428601343575e-07,3.1975949698659843e-07,0.23809523809523814,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,2.0,P2,1.48,7,21,-2.6634963665942307e-08,4.793759821693391e-08,0.42857142857142855,0.5714285714285714,0.0,1.0651317275495804e-08,3.728628094143811e-08,2.2367766278541187e-07,7.830118997702003e-07,8.270901955912182e-08,2.5828650453593266e-07,3.150846330628835e-07,0.14285714285714285,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,2.0,P2,1.5,7,21,-2.6902594340333136e-08,5.032137544449324e-08,0.47619047619047616,0.5238095238095238,0.0,1.1709390552080054e-08,3.861198489241319e-08,2.458972015936811e-07,8.10851682740677e-07,8.475619179684069e-08,2.5965108669382464e-07,3.207831799070651e-07,0.04761904761904767,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,2.0,P2,1.52,7,21,-2.6448972791805994e-08,4.938171216609908e-08,0.47619047619047616,0.5238095238095238,0.0,1.1466369687146543e-08,3.791534247895254e-08,2.407937634300774e-07,7.962221920580033e-07,8.905010867219377e-08,2.565496955953401e-07,3.148033615873163e-07,0.04761904761904767,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,2.0,P2,1.54,7,21,-2.634823049074098e-08,4.769460135768211e-08,0.47619047619047616,0.5238095238095238,0.0,1.0673185433470562e-08,3.7021415924211546e-08,2.241368941028818e-07,7.774497344084424e-07,8.313494248002303e-08,2.508933965958404e-07,3.011888785234413e-07,0.04761904761904767,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,2.0,P2,1.56,7,21,-2.717593101778199e-08,4.319354966408701e-08,0.47619047619047616,0.5238095238095238,0.0,8.008809323152509e-09,3.51847403409345e-08,1.6818499578620267e-07,7.388795471596245e-07,6.887169246784899e-08,2.407319971575181e-07,2.742531052458889e-07,0.04761904761904767,0,lambda_max_kneg,1.0
M33_V0_alpha_peak_robustness,2.0,P2,1.58,7,21,-2.8682550185597507e-08,4.2658082366110196e-08,0.38095238095238093,0.6190476190476191,0.0,6.987766090256343e-09,3.567031627585385e-08,1.467430878953832e-07,7.490766417929309e-07,6.344565342297862e-08,2.4127762225916953e-07,2.716245709960984e-07,0.23809523809523814,0,lambda_max_kneg,1.0
