row_id,galaxy_id,radius_kpc,vobs_km_s,vgas_km_s,vdisk_km_s_ml1,vbul_km_s_ml1,gobs_m_per_s2,log10_gobs,vbar_ml1_km_s_preparatory,gbar_status,mass_to_light_assumption_required,claim_boundary
49,DDO064,2.37,46.40,20.59,18.61,0.00,2.9439950122371899e-11,-10.531062930122481,27.753922245333179,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
50,DDO064,2.98,46.90,22.17,17.21,0.00,2.3920974942465498e-11,-10.621221123868228,28.065868951450625,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
51,DDO154,0.49,13.80,3.74,12.31,0.00,1.2595387915954796e-11,-10.899788452448179,12.865601423952167,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
52,DDO154,0.99,21.60,7.46,14.55,0.00,1.5272908942254171e-11,-10.816078237517827,16.350966332299752,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
53,DDO154,1.48,28.90,10.87,12.95,0.00,1.8288724799573161e-11,-10.737816575104,16.907377088123397,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
54,DDO154,1.97,34.30,13.32,11.54,0.00,1.9354032620499495e-11,-10.71322853129819,17.623677255328978,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
55,DDO154,2.47,38.20,14.77,10.18,0.00,1.9146051701736015e-11,-10.717920772658386,17.938375065763342,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
56,DDO154,2.96,42.00,16.20,9.16,0.00,1.9313292792499527e-11,-10.714143675485277,18.610362704686871,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
57,DDO154,3.46,44.60,17.60,8.37,0.00,1.8631296333500443e-11,-10.729756926590632,19.488891707842189,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
58,DDO154,3.95,46.30,17.91,7.77,0.00,1.7587914316427822e-11,-10.754785658812692,19.522832786253126,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
59,DDO154,4.44,47.40,17.48,7.29,0.00,1.6399219090882926e-11,-10.785176831988588,18.939231769002671,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
60,DDO154,4.94,48.20,16.93,6.89,0.00,1.5241109466414426e-11,-10.816983417668085,18.278320491773854,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
61,DDO154,5.43,47.40,16.28,6.55,0.00,1.3409306217959523e-11,-10.872593691462816,17.548244926487662,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
62,DDO154,5.92,45.50,15.64,6.26,0.00,1.1333147506709791e-11,-10.945649458630834,16.846281488803399,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
63,DDO161,0.60,16.00,6.82,12.59,0.00,1.3827324968295958e-11,-10.859261830293933,14.318536936433135,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
64,DDO161,0.73,16.60,8.12,14.22,0.00,1.2233275904099855e-11,-10.912457229262484,16.375066412079065,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
65,DDO161,0.85,18.60,9.30,15.27,0.00,1.3190352976190266e-11,-10.879743582500598,17.879119105817267,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
66,DDO161,0.98,20.00,10.41,17.04,0.00,1.3227670569160675e-11,-10.87851662958667,19.968217246414362,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
67,DDO161,1.07,21.40,11.27,18.03,0.00,1.3870535358821878e-11,-10.857906776208967,21.262497501469579,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
68,DDO161,1.54,28.90,15.22,22.44,0.00,1.7576177080109272e-11,-10.755075580545506,27.1146086086449,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
69,DDO161,2.02,32.90,18.74,24.92,0.00,1.7365603518254825e-11,-10.760310118768814,31.180025657462181,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
70,DDO161,2.49,35.20,21.52,25.85,0.00,1.6126325987121068e-11,-10.792464565361612,33.635292476801808,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
71,DDO161,2.96,37.60,23.28,26.01,0.00,1.5478662595421847e-11,-10.810266566425755,34.906711389072449,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
72,DDO161,3.43,40.60,24.59,25.36,0.00,1.5574259328129777e-11,-10.807592598110521,35.324180103719321,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
73,DDO161,3.90,42.70,25.62,25.01,0.00,1.515097556577184e-11,-10.819559402198589,35.80341464162322,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
74,DDO161,4.37,45.50,26.35,24.48,0.00,1.53529137848334e-11,-10.813809188878336,35.966552517582222,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
75,DDO161,4.86,48.90,27.08,23.70,0.00,1.5945234248379134e-11,-10.79736909623719,35.986336295877635,requires_ml_assumption_not_finalized,true,massmodels_standard_baseline_preparation_only
