family_id,variant_id,block_id,model_class,marker_name,pairing_mode,n_pairs,absolute_strength,strength_mean,strength_ci_low,strength_ci_high,absolute_support_flag,relative_rank,dominance_margin,bootstrap_win_fraction,dominant_level_flag,dominance_stable_flag,extra
ER1_RING,RING_ABS,irregularity,ring_schrodinger_quadratic,delta_p2,unique_abs_pairs,3,0.6488856845230501,0.45946356022753165,0.0,0.7071067811865476,1,3,-0.058221096663497396,0.231,0,0,{}
ER1_RING,RING_ABS,irregularity,ring_schrodinger_quadratic,abs_delta_p2,unique_abs_pairs,3,0.6488856845230501,0.4647964487607168,0.0,0.7071067811865476,1,4,-0.058221096663497396,0.0,0,0,{}
ER1_RING,RING_ABS,irregularity,ring_schrodinger_quadratic,delta_E_quad,unique_abs_pairs,3,0.6488856845230501,0.432077966293696,0.0,0.7071067811865476,1,5,-0.058221096663497396,0.0,0,0,{}
ER1_RING,RING_DEGEN_SAFE,irregularity,ring_schrodinger_quadratic,delta_p,degeneracy_safe_pairs,3,0.7071067811865475,0.4737615433949869,0.0,0.7071067811865475,1,1,0.0,0.778,1,1,{}
ER1_RING,RING_DEGEN_SAFE,irregularity,ring_schrodinger_quadratic,abs_delta_p,degeneracy_safe_pairs,3,0.7071067811865475,0.4723473298326138,0.0,0.7071067811865475,1,2,0.0,0.0,0,0,{}
ER1_RING,RING_DEGEN_SAFE,irregularity,ring_schrodinger_quadratic,delta_p2,degeneracy_safe_pairs,3,0.6488856845230501,0.47705860204876666,0.0,0.7071067811865476,1,3,-0.058221096663497396,0.222,0,0,{}
ER1_RING,RING_DEGEN_SAFE,irregularity,ring_schrodinger_quadratic,abs_delta_p2,degeneracy_safe_pairs,3,0.6488856845230501,0.4549298140570949,0.0,0.7071067811865476,1,4,-0.058221096663497396,0.0,0,0,{}
ER1_RING,RING_DEGEN_SAFE,irregularity,ring_schrodinger_quadratic,delta_E_quad,degeneracy_safe_pairs,3,0.6488856845230501,0.4400223505555139,0.0,0.7071067811865476,1,5,-0.058221096663497396,0.0,0,0,{}
ER2_CAVITY,CAVITY_STANDARD,dispersion_corrected_energy,cavity_helmholtz_linear_energy,abs_delta_k,all_pairs,28,0.5608339881559857,0.5747046408045603,0.5237560847801968,0.6370140724518111,0,1,0.001306775412801442,0.502,1,0,{}
ER2_CAVITY,CAVITY_STANDARD,dispersion_corrected_energy,cavity_helmholtz_linear_energy,abs_delta_k2,all_pairs,28,0.5595272127431843,0.5743079329252153,0.5196872461727138,0.6312169758867132,0,2,-0.001306775412801442,0.476,0,0,{}
