control_id,original_system_id,control_family_id,node_count,edge_count,degree_distribution,component_score_topology,component_score_degree,component_score_bond_order,component_score_hybridization,component_score_sigma_pi,component_score_local_environment,combined_bonding_organization_score,likely_signal_source,mimic_risk_flag,interpretation_boundary
cross_system_label_swap__ethyne,ethyne,cross_system_label_swap,2,1,"{""1"": 2}",1.0,1.0,0.0,0.0,0.0,0.0,0.32,combined scaffold signal,False,passes_configured_scaffold_separation_threshold
hybridization_label_shuffle_control__adamantane,adamantane,hybridization_label_shuffle_control,10,12,"{""2"": 6, ""3"": 4}",1.0,1.0,1.0,0.0,1.0,0.0,0.68,combined scaffold signal,False,passes_configured_scaffold_separation_threshold
hybridization_label_shuffle_control__benzene,benzene,hybridization_label_shuffle_control,6,6,"{""2"": 6}",1.0,1.0,1.0,0.833333,1.0,0.833333,0.946667,combined scaffold signal,False,below_threshold_low_contrast_boundary
hybridization_label_shuffle_control__c60,c60,hybridization_label_shuffle_control,60,90,"{""3"": 60}",1.0,1.0,1.0,0.816667,1.0,0.816667,0.941333,combined scaffold signal,False,below_threshold_low_contrast_boundary
hybridization_label_shuffle_control__ethyne,ethyne,hybridization_label_shuffle_control,2,1,"{""1"": 2}",1.0,1.0,1.0,0.0,1.0,0.0,0.68,combined scaffold signal,False,passes_configured_scaffold_separation_threshold
sigma_pi_label_shuffle_control__adamantane,adamantane,sigma_pi_label_shuffle_control,10,12,"{""2"": 6, ""3"": 4}",1.0,1.0,1.0,1.0,0.091667,0.0,0.6965,combined scaffold signal,False,passes_configured_scaffold_separation_threshold
sigma_pi_label_shuffle_control__benzene,benzene,sigma_pi_label_shuffle_control,6,6,"{""2"": 6}",1.0,1.0,1.0,1.0,0.0,0.0,0.68,combined scaffold signal,False,passes_configured_scaffold_separation_threshold
sigma_pi_label_shuffle_control__c60,c60,sigma_pi_label_shuffle_control,60,90,"{""3"": 60}",1.0,1.0,1.0,1.0,0.798611,0.583333,0.905417,combined scaffold signal,False,below_threshold_low_contrast_boundary
sigma_pi_label_shuffle_control__ethyne,ethyne,sigma_pi_label_shuffle_control,2,1,"{""1"": 2}",1.0,1.0,1.0,1.0,0.0,0.0,0.68,combined scaffold signal,False,passes_configured_scaffold_separation_threshold
topology_matched_random_control__adamantane,adamantane,topology_matched_random_control,10,12,"{""2"": 6, ""3"": 4}",0.65,1.0,1.0,1.0,1.0,0.0,0.797,combined scaffold signal,False,passes_configured_scaffold_separation_threshold
topology_matched_random_control__benzene,benzene,topology_matched_random_control,6,6,"{""2"": 6}",0.65,1.0,1.0,1.0,1.0,0.0,0.797,combined scaffold signal,False,passes_configured_scaffold_separation_threshold
topology_matched_random_control__c60,c60,topology_matched_random_control,60,90,"{""3"": 60}",0.65,1.0,1.0,1.0,1.0,0.0,0.797,combined scaffold signal,False,passes_configured_scaffold_separation_threshold
topology_matched_random_control__ethyne,ethyne,topology_matched_random_control,2,1,"{""1"": 2}",0.65,1.0,1.0,1.0,1.0,0.0,0.797,combined scaffold signal,False,passes_configured_scaffold_separation_threshold
topology_preserving_label_randomization__adamantane,adamantane,topology_preserving_label_randomization,10,12,"{""2"": 6, ""3"": 4}",1.0,1.0,0.166667,0.3,0.6,0.0,0.512,combined scaffold signal,False,passes_configured_scaffold_separation_threshold
topology_preserving_label_randomization__benzene,benzene,topology_preserving_label_randomization,6,6,"{""2"": 6}",1.0,1.0,0.166667,1.0,0.5,0.0,0.62,combined scaffold signal,False,passes_configured_scaffold_separation_threshold
topology_preserving_label_randomization__c60,c60,topology_preserving_label_randomization,60,90,"{""3"": 60}",1.0,1.0,0.755556,0.8,0.8625,0.05,0.76225,combined scaffold signal,False,passes_configured_scaffold_separation_threshold
topology_preserving_label_randomization__ethyne,ethyne,topology_preserving_label_randomization,2,1,"{""1"": 2}",1.0,1.0,0.0,0.5,0.5,0.0,0.5,combined scaffold signal,False,passes_configured_scaffold_separation_threshold
within_system_label_shuffle__adamantane,adamantane,within_system_label_shuffle,10,12,"{""2"": 6, ""3"": 4}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,combined scaffold signal,True,zero_or_low_delta_control_mimicry_boundary
within_system_label_shuffle__benzene,benzene,within_system_label_shuffle,6,6,"{""2"": 6}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,combined scaffold signal,True,zero_or_low_delta_control_mimicry_boundary
within_system_label_shuffle__c60,c60,within_system_label_shuffle,60,90,"{""3"": 60}",1.0,1.0,1.0,1.0,1.0,0.4,0.916,combined scaffold signal,False,below_threshold_low_contrast_boundary
within_system_label_shuffle__ethyne,ethyne,within_system_label_shuffle,2,1,"{""1"": 2}",1.0,1.0,1.0,1.0,1.0,1.0,1.0,combined scaffold signal,True,zero_or_low_delta_control_mimicry_boundary
