section,field_1,field_2,field_3,field_4,notes
domain_path_samples,causality,data/bmc08b_real_units_feature_table.csv,,,domain_guess=causality; relative_path=data/bmc08b_real_units_feature_table.csv
domain_path_samples,causality,data/bmc08c_m39x1_sign_sensitive_ring_config.yaml,,,domain_guess=causality; relative_path=data/bmc08c_m39x1_sign_sensitive_ring_config.yaml
domain_path_samples,causality,data/bmc08c_realdata_config.yaml,,,domain_guess=causality; relative_path=data/bmc08c_realdata_config.yaml
domain_path_samples,causality,data/bmc08c_real_units_feature_table.csv,,,domain_guess=causality; relative_path=data/bmc08c_real_units_feature_table.csv
domain_path_samples,causality,data/bmc08_dataset_manifest.json,,,domain_guess=causality; relative_path=data/bmc08_dataset_manifest.json
domain_path_samples,causality,data/bmc08_dataset_manifest.template.json,,,domain_guess=causality; relative_path=data/bmc08_dataset_manifest.template.json
domain_path_samples,causality,data/bmc08_realdata_config.template.yaml,,,domain_guess=causality; relative_path=data/bmc08_realdata_config.template.yaml
domain_path_samples,causality,data/bmc08_realdata_config.yaml,,,domain_guess=causality; relative_path=data/bmc08_realdata_config.yaml
domain_path_samples,causality,data/bmc09a_knn_config.yaml,,,domain_guess=causality; relative_path=data/bmc09a_knn_config.yaml
domain_path_samples,causality,data/bmc09a_knn_inputs/graph_build_diagnostics.csv,,,domain_guess=causality; relative_path=data/bmc09a_knn_inputs/graph_build_diagnostics.csv
domain_path_samples,causality,data/bmc09a_knn_inputs/k_2/baseline_relational_table_real.csv,,,domain_guess=causality; relative_path=data/bmc09a_knn_inputs/k_2/baseline_relational_table_real.csv
domain_path_samples,causality,data/bmc09a_knn_inputs/k_2/graph_build_summary.json,,,domain_guess=causality; relative_path=data/bmc09a_knn_inputs/k_2/graph_build_summary.json
domain_path_samples,causality,data/bmc09a_knn_inputs/k_2/node_metadata_real.csv,,,domain_guess=causality; relative_path=data/bmc09a_knn_inputs/k_2/node_metadata_real.csv
domain_path_samples,causality,data/bmc09a_knn_inputs/k_3/baseline_relational_table_real.csv,,,domain_guess=causality; relative_path=data/bmc09a_knn_inputs/k_3/baseline_relational_table_real.csv
domain_path_samples,causality,data/bmc09a_knn_inputs/k_3/graph_build_summary.json,,,domain_guess=causality; relative_path=data/bmc09a_knn_inputs/k_3/graph_build_summary.json
domain_path_samples,causality,data/bmc09a_knn_inputs/k_3/node_metadata_real.csv,,,domain_guess=causality; relative_path=data/bmc09a_knn_inputs/k_3/node_metadata_real.csv
domain_path_samples,causality,data/bmc09a_knn_inputs/k_4/baseline_relational_table_real.csv,,,domain_guess=causality; relative_path=data/bmc09a_knn_inputs/k_4/baseline_relational_table_real.csv
domain_path_samples,causality,data/bmc09a_knn_inputs/k_4/graph_build_summary.json,,,domain_guess=causality; relative_path=data/bmc09a_knn_inputs/k_4/graph_build_summary.json
