run_folder,file_count,domain_guess
QSB-EXTRACT03K,32,extract03
QSB-EXTRACT03L-R1,46,extract03
QSB-EXTRACT03L,34,extract03
QSB-EXTRACT03M-RG,34,extract03
QSB-EXTRACT03M,36,extract03
QSB-EXTRACT03N-R1,48,extract03
QSB-EXTRACT03N,38,extract03
QSB-EXTRACT03O-RG,34,extract03
QSB-EXTRACT03O,36,extract03
QSB-EXTRACT03P-R1,34,extract03
QSB-EXTRACT03P,40,extract03
QSB-EXTRACT03Q-R1,28,extract03
QSB-EXTRACT03Q,28,extract03
QSB-EXTRACT03R-R1,36,extract03
QSB-EXTRACT03R-R2,37,extract03
QSB-EXTRACT03R-R3,35,extract03
QSB-EXTRACT03R,31,extract03
QSB-GAP01,9,unknown
QSB-GAP01A,7,unknown
QSB-GAP01C,10,unknown
QSB-GAP01D,9,interface01
QSB-GAP02,10,unknown
QSB-GAP02A,12,unknown
QSB-GAP02B,11,unknown
QSB-GAP02C,11,unknown
QSB-GIT,6,unknown
QSB-INTERFACE01A,10,interface01
QSB-INTERFACE01B,10,interface01
QSB-INTERFACE01C,10,interface01
QSB-INTERFACE01D,10,interface01
QSB-INTERFACE01E,10,interface01
QSB-INTERFACE01F0,8,interface01
QSB-INTERFACE01F1,26,interface01
QSB-INTERFACE01F2,10,interface01
QSB-INTERFACE01F3,72,interface01
QSB-INTERFACE01G,13,interface01
QSB-INTERFACE01H,14,interface01
QSB-INTERFACE01I,13,interface01
QSB-INTERFACE01J,13,interface01
QSB-INTERFACE01J2,13,interface01
QSB-INTERFACE01K,13,interface01
QSB-INTERFACE01L,15,interface01
QSB-INTERFACE01L2,16,interface01
QSB-INTERFACE01M,16,interface01
QSB-INTERFACE01M2,17,interface01
QSB-INTERFACE01N0,15,interface01
QSB-INVENTORY01,10,unknown
QSB-MAP01-DWH-A,7,unknown
QSB-MAP01-RENDER-A,1,unknown
QSB-MASSDEFECT,12,unknown
QSB-MATERIAL01,11,unknown
QSB-MATRIX-TOPOLOGY-BLOCK-NULLMODEL-AUDIT,14,matrix_topology
QSB-MATRIX-TOPOLOGY-BLOCK-SEMANTICS-AUDIT,11,matrix_topology
QSB-MATRIX-TOPOLOGY-BLOCK-STRENGTH-PROFILE,14,matrix_topology
QSB-MATRIX-TOPOLOGY-BLOCK-STRUCTURE-AUDIT,10,matrix_topology
QSB-MATRIX-TOPOLOGY-CLOSURE-TEST,9,matrix_topology
QSB-MATRIX-TOPOLOGY-CLOSURE-VIZ,11,matrix_topology
QSB-MATRIX-TOPOLOGY-COMPARATIVE-REVIEW,17,matrix_topology
QSB-MATRIX-TOPOLOGY-DETECTOR-GENERALIZATION,17,matrix_topology
QSB-MATRIX-TOPOLOGY-LABEL-PERMUTED-RECOMPUTE-CONTROL,18,matrix_topology
QSB-MATRIX-TOPOLOGY-SOURCE-SIGNAL-SEPARATION-GATE,17,matrix_topology
QSB-MATRIX-TOPOLOGY-STRUCTURE-ORIGIN-AUDIT,13,matrix_topology
QSB-MATRIX-TOPOLOGY-UPSTREAM-GENERATOR-TRACE-RESOLUTION,19,matrix_topology
QSB-META-RELALG-SYNC-MIN,11,relalg
QSB-META01-01,10,metadata
QSB-META01-02,10,metadata
QSB-META01-03,11,causality
QSB-META02,34,metadata
QSB-OBSERVATIONAL-CANDIDATE-SCOUT-01-DEEP-RESEARCH-INGEST,21,unknown
QSB-OBSERVATIONAL-CANDIDATE-SCOUT-01,19,unknown
QSB-OUTREACH01A,9,unknown
QSB-RELALG-AX01-TERM,13,relalg
QSB-RELALG-AX01,14,relalg
QSB-RELALG-GAUGE01,13,relalg
QSB-RELALG-LOOP01-MIN,14,relalg
QSB-RELALG-NULL01-MIN,15,relalg
QSB-RELALG-PREAX01-SYNTH,12,relalg
QSB-RELALG-PREAX01-SYNTH_failed_v10_20260626_113748,12,relalg
QSB-RELALG-PREAX01-SYNTH_failed_v10_20260626_120813,12,relalg
QSB-RELALG-REAL01-MIN-AUTHORIZATION,18,relalg
QSB-RELALG-REAL01-MIN-EXPORT-CONTRACT,17,relalg
QSB-RELALG-REAL01-MIN-SOURCE-ELIGIBILITY,14,relalg
QSB-RELALG-REAL01-MIN-SOURCE-REMEDIATION,18,relalg
QSB-RELALG-REAL01-MIN-UPSTREAM-EXPORT-AUTHORIZED,12,relalg
QSB-RELALG-REAL01-MIN-UPSTREAM-EXPORT,31,relalg
QSB-RELALG-SYNTH-D1K-BRIDGE,8,relalg
QSB-RELALG-SYNTH-D1K-LOOP-MIN,10,relalg
QSB-RELALG-SYNTH-D1K-MATRIX-TOPOLOGY-MIN,14,matrix_topology
QSB-RELALG-SYNTH-D1K-SOURCE-TOPOLOGY-LIMIT-NOTE,8,relalg
QSB-REPO-HYGIENE01-UNTRACKED-INVENTORY,7,unknown
QSB-SHAPIROMART,181,unknown
QSB-SPARC-RAR-DWH-ETL-METADATA-REGISTRATION-01,37,sparc_rar
QSB-SPARC-RAR-RESIDUAL-SCOUT-01-BASELINE-RAR-REPRODUCTION,26,sparc_rar
QSB-SPARC-RAR-RESIDUAL-SCOUT-01-DATA-CONTRACT-REVIEW,22,sparc_rar
QSB-SPARC-RAR-RESIDUAL-SCOUT-01-DATA-CONTRACT,30,sparc_rar
QSB-SPARC-RAR-RESIDUAL-SCOUT-01-PRECONTRACT,19,sparc_rar
QSB-ST-COMP01-WIFM01,8,unknown
QSB-ST-COMP01-WIFM01B,10,unknown
QSB-ST-COMP01-WIFM01C,10,unknown
QSB-ST-COMP01,6,unknown
QSB-ST-COMP01B,6,unknown
QSB-ST-COMP01C,6,unknown
QSB-ST-COMP01C2,6,unknown
QSB-ST-COMP01C3,6,unknown
QSB-ST-COMP01D1B,6,unknown
QSB-ST-COMP01D1C,7,unknown
QSB-ST-COMP01D1D,8,unknown
QSB-ST-COMP01D1E,7,unknown
QSB-ST-COMP01D1F,9,unknown
QSB-ST-COMP01D1G,13,unknown
QSB-ST-COMP01D1H,8,unknown
QSB-ST-COMP01D1I,8,unknown
QSB-ST-COMP01D1J,9,unknown
QSB-ST-COMP01D1K,10,relalg
QSB-ST-COMP01D1L,10,unknown
QSB-ST-COMP01D1M,7,unknown
QSB-ST-COMP01D1N,7,unknown
QSB-ST-COMP01D1O,8,unknown
QSB-ST-COMP01D1P,9,unknown
QSB-ST-IDSPACE-CPNS06,2,unknown
QSB-ST-LIC01,26,unknown
QSB-ST-PUBLIC01-PDF01,8,unknown
QSB-ST-PUBLIC01-PREVIEW01,3,unknown
QSB-ST-PUBLIC01-PREVIEW02,9,unknown
QSB-ST-SHAPIROINFO,48,unknown
QSB-ST-SHAPIROINFO04,5,unknown
QSB-ST-SHAPIROINFO24B,5,unknown
QSB-ST-SHAPIROINFO26B,10,unknown
QSB-ST-SHAPIROINFO33,5,unknown
README_BMC07_runs.md,1,causality
qsb_research_data_browser,118,unknown
sqlite_tkinter_crud_app,3,metadata
