family_id,variant_id,spectral_type,model_class,marker_name,pairing_mode,n_pairs,absolute_strength,strength_mean,strength_ci_low,strength_ci_high,absolute_support_flag,relative_rank,dominance_margin,bootstrap_win_fraction,dominant_level_flag,dominance_stable_flag,extra
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D02,type_B_quadratic_nontrivial,finite_square_well_1d,delta_p,all_pairs,15,0.5540832967343343,0.581570203632311,0.47861765368541676,0.7024519740526707,0,1,0.0,0.963,1,1,{}
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D02,type_B_quadratic_nontrivial,finite_square_well_1d,abs_delta_p,all_pairs,15,0.5540832967343343,0.5816965895917184,0.48030645389176385,0.6987410566564602,0,2,0.0,0.0,0,0,{}
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D02,type_B_quadratic_nontrivial,finite_square_well_1d,delta_p2,all_pairs,15,0.46047534362650605,0.4752704103844079,0.24246725090137078,0.6532900582009935,0,3,-0.09360795310782827,0.037,0,0,{}
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D02,type_B_quadratic_nontrivial,finite_square_well_1d,abs_delta_p2,all_pairs,15,0.46047534362650605,0.4766334741589338,0.23938165233068712,0.6532935126481952,0,4,-0.09360795310782827,0.0,0,0,{}
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D02,type_B_quadratic_nontrivial,finite_square_well_1d,delta_E_quad,all_pairs,15,0.46047534362650605,0.47311356404452987,0.21834462859709608,0.6408929374767387,0,5,-0.09360795310782827,0.0,0,0,{}
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D03,type_B_quadratic_nontrivial,finite_square_well_1d,delta_p,all_pairs,15,0.5555616693201023,0.5800802604370615,0.4817197815112898,0.702281452091353,0,1,0.0,0.962,1,1,{}
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D03,type_B_quadratic_nontrivial,finite_square_well_1d,abs_delta_p,all_pairs,15,0.5555616693201023,0.5812308933848039,0.48630602667347195,0.702258571570996,0,2,0.0,0.0,0,0,{}
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D03,type_B_quadratic_nontrivial,finite_square_well_1d,delta_p2,all_pairs,15,0.465458540691849,0.48037643926425233,0.25984870378864083,0.649406570932442,0,3,-0.09010312862825332,0.038,0,0,{}
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D03,type_B_quadratic_nontrivial,finite_square_well_1d,abs_delta_p2,all_pairs,15,0.465458540691849,0.4764185501828757,0.25954471443256394,0.6557270483709385,0,4,-0.09010312862825332,0.0,0,0,{}
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D03,type_B_quadratic_nontrivial,finite_square_well_1d,delta_E_quad,all_pairs,15,0.465458540691849,0.4823746821682541,0.28166326495238236,0.6530542644146403,0,5,-0.09010312862825332,0.0,0,0,{}
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D04,type_B_quadratic_nontrivial,finite_square_well_1d,delta_p,all_pairs,15,0.5627428808656056,0.5874615737311506,0.4980261181019175,0.7048918934532609,0,1,0.0,0.911,1,1,{}
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D04,type_B_quadratic_nontrivial,finite_square_well_1d,abs_delta_p,all_pairs,15,0.5627428808656056,0.5921032080992232,0.4925276082801394,0.7349095247496223,0,2,0.0,0.0,0,0,{}
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D04,type_B_quadratic_nontrivial,finite_square_well_1d,delta_p2,all_pairs,15,0.49456725790709494,0.5114353092316362,0.30208679452499576,0.6595222493162715,0,3,-0.0681756229585107,0.089,0,0,{}
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D04,type_B_quadratic_nontrivial,finite_square_well_1d,abs_delta_p2,all_pairs,15,0.49456725790709494,0.5116587695803708,0.3260637411381938,0.6615482429430699,0,4,-0.0681756229585107,0.0,0,0,{}
TB2_FINITE_SQUARE_WELL_1D_DENSE_SWEEP,FSW_D04,type_B_quadratic_nontrivial,finite_square_well_1d,delta_E_quad,all_pairs,15,0.49456725790709494,0.5145582373814834,0.33615446992856785,0.6659963058312253,0,5,-0.0681756229585107,0.0,0,0,{}
