family_id,pair_i,pair_j,p_i,p_j,delta_p,delta_p_abs,delta_p2,sum_p,mean_p,delta_p2_bucket
F4,5,6,2.1,5.2,-3.1,3.1,-22.630000000000003,7.300000000000001,3.6500000000000004,large_negative
F5,0,1,-3.0,-2.0,-1.0,1.0,5.0,-5.0,-2.5,positive
F5,0,2,-3.0,-1.0,-2.0,2.0,8.0,-4.0,-2.0,positive
F5,0,3,-3.0,0.0,-3.0,3.0,9.0,-3.0,-1.5,positive
F5,0,4,-3.0,1.0,-4.0,4.0,8.0,-2.0,-1.0,positive
F5,0,5,-3.0,2.0,-5.0,5.0,5.0,-1.0,-0.5,positive
F5,0,6,-3.0,3.2,-6.2,6.2,-1.240000000000002,0.20000000000000018,0.10000000000000009,compact_negative
F5,1,2,-2.0,-1.0,-1.0,1.0,3.0,-3.0,-1.5,positive
F5,1,3,-2.0,0.0,-2.0,2.0,4.0,-2.0,-1.0,positive
F5,1,4,-2.0,1.0,-3.0,3.0,3.0,-1.0,-0.5,positive
F5,1,5,-2.0,2.0,-4.0,4.0,0.0,0.0,0.0,zero
F5,1,6,-2.0,3.2,-5.2,5.2,-6.240000000000002,1.2000000000000002,0.6000000000000001,compact_negative
F5,2,3,-1.0,0.0,-1.0,1.0,1.0,-1.0,-0.5,positive
F5,2,4,-1.0,1.0,-2.0,2.0,0.0,0.0,0.0,zero
F5,2,5,-1.0,2.0,-3.0,3.0,-3.0,1.0,0.5,compact_negative
F5,2,6,-1.0,3.2,-4.2,4.2,-9.240000000000002,2.2,1.1,compact_negative
F5,3,4,0.0,1.0,-1.0,1.0,-1.0,1.0,0.5,compact_negative
F5,3,5,0.0,2.0,-2.0,2.0,-4.0,2.0,1.0,compact_negative
F5,3,6,0.0,3.2,-3.2,3.2,-10.240000000000002,3.2,1.6,large_negative
F5,4,5,1.0,2.0,-1.0,1.0,-3.0,3.0,1.5,compact_negative
F5,4,6,1.0,3.2,-2.2,2.2,-9.240000000000002,4.2,2.1,compact_negative
F5,5,6,2.0,3.2,-1.2000000000000002,1.2000000000000002,-6.240000000000002,5.2,2.6,compact_negative
